Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
PULSEGAUGE,"BTC-USD, Long, 2025-07-06 (Price: 109232.0703)",Weekly,No Price Target,No Date Target,2025-11-20 (Price: 91465.9922) (Today),"2025-11-20 (Price: 91465.9922), 16.26% below","87.5%, Past 11 years, 8",34.61%/43.88%,"-16.26%, 98 days",33.15%/20.48%/25.41%,123126.3896 (Historic Rise or Fall to Pivot)/136987.9394 (Avg % Gain of Historic Winning trades)/145442.5016 (Backtested Best)/131602.7983 (Backtested Worst),2025-11-26 (Max),"-16.26%, 98 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,98 days,No Information,No Information,No Information,No Information,No Information,No Information,"15.02%, 15.64%",99 days/9 days/44 days,2025-11-26/2025-07-19/2025-09-07,144.79%,63.87%,80.93%,0.46,1.51,123126.3896/136987.9394/107223.5861/109784.5/107223.5861/112399.9298/110409.11,78214.48/18304.4229/87809.6423/72214.6916/No F-Track Level/No F-Track Level/No Moving Avg Support,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
FRACTAL TRACK,"TD.TO, Long, 2025-06-30 (Price: 100.16)",Quarterly,115.2441 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-20 (Price: 114.66), 14.48% above","100.0%, Past 53 years, 11",12.22%/18.79%,"14.48%, 103 days",71.52%/15.06%/41.04%,141.2657 (Avg % Gain of Historic Winning trades)/136.2 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/171.7944 (Backtested Best),2032-09-25 (Max)/2028-05-03 (Min)/2030-01-30 (Avg),"14.48%, 103 days","Quarterly, was CONFIRMED on 2025-06-30",Already confirmed,103 days,No Information,No Information,No Information,"61.8% (Price: 71.9567), 59.35% above, Upmove Bounce Back","2020-03-31 (Price: 49.01), 2022-03-31 (Price: 109.08)",No Information,"-0.0%, 23.77%",1826 days/717 days/1157 days,2032-09-25/2028-05-03/2030-01-30,5.49%,10.52%,-5.02%,0.61,0.4,107.7221/141.2657/136.2/No Horizontal Resistance/128.6672/152.0396/No Moving Avg Target,75.2/73.6233/83.3451/69.6282/No F-Track Level/No F-Track Level/97.7,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",Monthly,No Price Target,No Date Target,2025-11-20 (Price: 7.912) (Today),"2025-11-20 (Price: 7.912), 20.24% above","100.0%, Past 20 years, 9",6.53%/7.82%,"20.24%, 103 days",44.06%/6.89%/28.09%,8.4283 (Avg % Gain of Historic Winning trades)/8.67 (Exit Rule)/8.5311 (F-Stack 1)/12.0421 (F-Stack 2)/9.4791 (Backtested Best),2026-12-17 (Max)/2026-01-04 (Min)/2026-05-23 (Avg),"20.24%, 103 days","Monthly, is CONFIRMED on 2025-06-30",Already confirmed,103 days,No Information,No Information,No Information,No Information,No Information,28.65% above/20.24% above/20.24% above,"-0.0%, 15.01%",370 days/130 days/226 days,2026-12-17/2026-01-04/2026-05-23,27.24%,1.15%,26.09%,1.21,-0.07,7.596/8.4283/8.67/No Horizontal Resistance/8.5311/12.0421/No Moving Avg Target,3.0/2.942/6.3611/26.9153/No F-Track Level/No F-Track Level/5.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-06-01 (Price: 9.16)",Weekly,No Price Target,No Date Target,2025-11-20 (Price: 9.39) (Today),"2025-11-20 (Price: 9.39), 2.51% above","100.0%, Past 10 years, 26",2.79%/13.2%,"2.51%, 123 days",16.04%/1.09%/5.37%,9.6519 (Avg % Gain of Historic Winning trades)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.6293 (Backtested Best),2026-03-23 (Max),"2.51%, 123 days","Weekly, is CONFIRMED on 2025-05-30",Already confirmed,123 days,No Information,No Information,No Information,No Information,No Information,2.51% above/2.51% above/2.51% above,"-0.0%, 16.12%",204 days/24 days/79 days,2026-03-23/2025-07-05/2025-09-23,15.41%,3.65%,11.76%,1.66,0.08,9.5246/9.6519/9.26/No Horizontal Resistance/11.2606/15.4512/No Moving Avg Target,8.52/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level/8.87,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-05-31 (Price: 172.85)",Monthly,281.8146 (Backtested Best),No Date Target,2025-10-31 (Price: 281.82),"2025-11-20 (Price: 289.98), 67.76% above","94.12%, Past 20 years, 17",No Next Target,"67.76%, 123 days",63.04%/1.54%/29.75%,No Next Target,2027-01-17 (Max)/2026-03-15 (Avg),"63.04%, 109 days","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,123 days,No Information,No Information,No Information,No Information,No Information,67.76% above/67.76% above/67.76% above,"3.21%, 18.92%",412 days/86 days/199 days,2027-01-17/2025-10-02/2026-03-15,22.75%,24.26%,-1.52%,1.49,0.85,188.7349/224.2729/233.69/No Horizontal Resistance/219.0619/240.3589/No Moving Avg Target,156.23/85.8978/138.1748/130.09/No F-Track Level/No F-Track Level/172.82,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-05-31 (Price: 94.77)",Monthly,116.24 (Exit Rule)/115.1645 (Backtested Best),No Date Target,2025-10-31 (Price: 115.16),"2025-11-20 (Price: 114.66), 20.99% above","88.24%, Past 20 years, 17",12.22%/32.6%,"20.99%, 123 days",21.52%/1.04%/11.02%,128.6672 (F-Stack 1)/152.0396 (F-Stack 2),2026-09-16 (Max)/2026-02-28 (Avg),"21.52%, 109 days","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,123 days,No Information,No Information,No Information,No Information,No Information,30.16% above/20.99% above/20.99% above,"18.56%, 26.48%",327 days/86 days/189 days,2026-09-16/2025-10-02/2026-02-28,7.3%,7.14%,0.16%,0.86,0.25,103.9343/105.2137/116.24/No Horizontal Resistance/128.6672/152.0396/No Moving Avg Target,75.2/73.6233/83.3451/69.6282/No F-Track Level/No F-Track Level/82.55,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-05-18 (Price: 197.98)",Weekly,No Price Target,2025-11-20 (Max),No Exit Yet,"2025-11-20 (Price: 171.71), 13.27% below","80.0%, Past 10 years, 15",21.02%/21.02%,"-13.27%, 133 days",27.78%/2.64%/12.82%,207.7998 (Historic Rise or Fall to Pivot)/223.361 (Avg % Gain of Historic Winning trades)/207.8 (Exit Rule)/225.9867 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/252.9788 (Backtested Best),No Next Date Target,"-13.27%, 133 days","Weekly, is CONFIRMED on 2025-05-16",Already confirmed,133 days,No Information,No Information,No Information,No Information,No Information,10.77% below/13.27% below/13.27% below,"19.41%, 30.73%",129 days/24 days/60 days,2025-11-20/2025-06-21/2025-08-12,15.69%,24.7%,-9.01%,0.48,0.8,207.7998/223.361/207.8/225.9867/222.5978/243.8843/No Moving Avg Target,155.11/125.3967/177.4966/151.1683/No F-Track Level/No F-Track Level/166.06,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
BAND MATRIX,"ORCL, Long, 2025-04-13 (Price: 132.35)",Weekly,208.7793 (F-Stack 1)/210.45 (Moving Avg)/216.4717 (Backtested Best),No Date Target,No Exit Yet,"2025-11-20 (Price: 210.69), 59.19% above","100.0%, Past 15 years, 6",10.94%,"59.19%, 158 days",63.56%/17.07%/34.06%,233.7381 (F-Stack 2),2028-04-30 (Max)/2025-12-06 (Min)/2027-03-20 (Avg),"59.19%, 158 days","Weekly, was CONFIRMED on 2025-04-13",No Cancellation Possible,158 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 25.99%",769 days/164 days/488 days,2028-04-30/2025-12-06/2027-03-20,12.71%,15.66%,-2.95%,1.4,0.58,150.8922/177.4284/164.16/No Horizontal Resistance/208.7793/233.7381/210.45,128.27/54.4/117.4897/106.3198/No F-Track Level/No F-Track Level/No Moving Avg Support,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
SIGMASHELL,"SUM.NZ, Long, 2025-04-01 (Price: 11.26)",Daily,12.5346 (Avg % Gain of Historic Winning trades),No Date Target,No Exit Yet,"2025-11-20 (Price: 12.67), 12.52% above","72.73%, Past 5 years, 11",5.33%/10.39%,"12.52%, 167 days",24.21%/2.02%/11.32%,19.8479 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.986 (Backtested Best),No Next Date Target,"12.52%, 167 days","Daily, was CONFIRMED on 2025-04-01",Already confirmed,167 days,"-12.17, 65.0",No Information,No Information,No Information,No Information,No Information,"14.49%, 34.68%",130 days/35 days/57 days,2025-10-06/2025-05-21/2025-06-22,10.12%,15.85%,-5.73%,0.43,0.62,11.5899/12.5346/19.8479/13.345/19.8479/26.5969/11.44,11.25/9.1367/11.0645/43.9323/No F-Track Level/No F-Track Level/No Moving Avg Support,85.95%/121/73 days (Across ALL Assets),74.78%/230/78 days (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,165.2679 (Avg % Gain of Historic Winning trades),No Date Target,No Exit Yet,"2025-11-20 (Price: 161.73), 29.98% above","100.0%, Past 15 years, 6",16.65%/24.36%,"29.98%, 193 days",61.64%/4.69%/32.82%,188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Best),2028-12-05 (Max)/2025-12-08 (Min)/2027-03-13 (Avg),"29.98%, 193 days","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,193 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 42.56%",954 days/199 days/517 days,2028-12-05/2025-12-08/2027-03-13,11.98%,10.84%,1.14%,1.17,0.44,128.4242/165.2679/146.85/No Horizontal Resistance/188.6608/207.1743/136.82,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No Moving Avg Support,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
BAND MATRIX,"SONY, Long, 2025-01-14 (Price: 19.88)",Daily,No Price Target,No Date Target,2025-11-18 (Price: 28.67),"2025-11-20 (Price: 27.75), 39.59% above","80.0%, Past 5 years, 5",19.71%/27.55%,"39.59%, 222 days",14.52%/0.39%/9.69%,33.2191 (F-Stack 1)/35.3948 (F-Stack 2),No Next Date Target,"44.22%, 220 days","Daily, was CONFIRMED on 2025-01-14",No Cancellation Possible,222 days,No Information,No Information,No Information,No Information,No Information,No Information,"9.09%, 50.87%",113 days/18 days/58 days,2025-06-26/2025-02-09/2025-04-08,5.28%,9.83%,-4.55%,0.41,0.36,20.7985/21.8064/21.3/20.0373/33.2191/35.3948/26.18,17.53/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No Moving Avg Support,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",Monthly,No Price Target,2025-11-20 (Avg),No Exit Yet,"2025-11-20 (Price: 217.14), 1.03% below","100.0%, Past 20 years, 18",20.47%/20.71%,"-1.03%, 232 days",98.02%/19.23%/39.69%,262.1052 (Historic Rise or Fall to Pivot)/306.4659 (Avg % Gain of Historic Winning trades)/295.59 (Exit Rule)/434.4361 (Backtested Best)/261.5787 (Backtested Worst),2026-10-21 (Max),"-1.03%, 232 days","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,232 days,No Information,No Information,No Information,No Information,No Information,4.45% above/1.03% below/1.03% below,"-0.0%, 23.74%",455 days/129 days/224 days,2026-10-21/2025-07-05/2025-11-20,18.63%,23.05%,-4.42%,1.48,0.71,262.1052/306.4659/295.59/No Horizontal Resistance/213.1321/231.81/No Moving Avg Target,84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
BAND MATRIX,"ORCL, Long, 2024-12-12 (Price: 175.32)",Daily,208.7793 (F-Stack 1)/210.45 (Moving Avg),No Date Target,No Exit Yet,"2025-11-20 (Price: 210.69), 20.17% above","80.0%, Past 5 years, 10",10.94%/12.62%,"20.17%, 245 days",35.34%/7.73%/16.03%,233.7381 (F-Stack 2)/237.2781 (Backtested Best),No Next Date Target,"20.17%, 245 days","Daily, was CONFIRMED on 2024-12-12",No Cancellation Possible,245 days,No Information,No Information,No Information,No Information,No Information,No Information,"11.69%, 30.08%",199 days/17 days/66 days,2025-09-26/2025-01-05/2025-03-17,32.54%,35.11%,-2.57%,0.69,1.1,193.7987/203.4238/198.61/No Horizontal Resistance/208.7793/233.7381/210.45,167.84/54.8525/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2024-06-30 (Price: 30.08)",Quarterly,No Price Target,No Date Target,2025-11-20 (Price: 37.14) (Today),"2025-11-20 (Price: 37.14), 23.47% above","100.0%, Past 24 years, 6",4.5%/10.2%,"23.47%, 363 days",589.02%/487.3%/538.16%,191.9585 (Avg % Gain of Historic Winning trades)/51.7 (Exit Rule)/38.8108 (F-Stack 1)/40.9296 (F-Stack 2)/207.2572 (Backtested Best)/176.6598 (Backtested Worst),2038-09-20 (Max)/2037-09-08 (Min)/2038-03-16 (Avg),"23.47%, 363 days","Quarterly, was CONFIRMED on 2024-06-30",Already confirmed,363 days,No Information,No Information,No Information,"50% (Price: 19.875), 86.87% above, Upmove Bounce Back","2012-09-30 (Price: 1.86), 2020-09-30 (Price: 37.89)",No Information,"-0.0%, 48.03%",3587 days/3327 days/3457 days,2038-09-20/2037-09-08/2038-03-16,9.52%,13.97%,-4.45%,0.67,0.5,36.7818/191.9585/51.7/37.034/38.8108/40.9296/36.0,18.5/22.675/28.7839/26.1935/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",Monthly,No Price Target,No Date Target,2025-11-20 (Price: 1549.1) (Today),"2025-11-20 (Price: 1549.1), 6.04% above","89.47%, Past 20 years, 19",22.75%/23.51%,"6.04%, 450 days",54.13%/1.64%/30.98%,1901.5234 (Historic Rise or Fall to Pivot)/1913.3558 (Avg % Gain of Historic Winning trades)/1999.6 (Exit Rule)/2250.6285 (F-Stack 2)/2251.531 (Backtested Best),2026-01-21 (Max),"6.04%, 450 days","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,450 days,No Information,No Information,No Information,No Information,No Information,8.58% above/6.04% above/6.04% above,"26.02%, 36.79%",478 days/109 days/233 days,2026-01-21/2024-08-04/2025-01-31,10.34%,17.67%,-7.33%,1.02,0.63,1901.5234/1913.3558/1999.6/No Horizontal Resistance/1503.6962/2250.6285/No Moving Avg Target,1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2020-12-31 (Price: 162.8465)",Quarterly,213.1321 (F-Stack 2),No Date Target,No Exit Yet,"2025-11-20 (Price: 217.14), 33.34% above","100.0%, Past 28 years, 6",7.42%/14.48%,"33.34%, 1275 days",98.54%/43.24%/59.48%,259.7076 (Avg % Gain of Historic Winning trades)/248.59 (Exit Rule)/323.3154 (Backtested Best)/233.2613 (Backtested Worst),No Next Date Target,"33.34%, 1275 days","Quarterly, is CONFIRMED on 2020-12-31",Already confirmed,1275 days,No Information,No Information,No Information,No Information,No Information,37.92% above/33.34% above/33.34% above,"-0.0%, 44.95%",717 days/391 days/585 days,2023-11-04/2022-07-20/2023-04-27,16.69%,32.04%,-15.35%,1.45,0.74,189.6836/259.7076/248.59/No Horizontal Resistance/193.0625/213.1321/No Moving Avg Target,1.61/83.3704/132.2674/119.5138/No F-Track Level/No F-Track Level/143.87,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Short, 2025-11-19 (Price: 501.26)",Daily,No Price Target,2025-11-20 (Min)/2025-11-24 (Avg),2025-11-20 (Price: 501.12) (Today),"2025-11-20 (Price: 501.12), 0.03% below","89.8%, Past 6 years, 49",-46.5%/-10.25%,"0.03%, 1 days",4.28%/0.01%/1.05%,497.2499 (Historic Rise or Fall to Pivot)/495.9968 (Avg % Gain of Historic Winning trades)/496.62 (Exit Rule)/268.082 (Horizontal)/491.88 (F-Stack 1)/449.7662 (F-Stack 2)/496.68 (Moving Avg),2025-12-13 (Max)/2025-11-24 (Avg),"0.03%, 1 days","Daily, is Confirmed on 2025-11-19",No Cancellation Possible,1 days,No Information,No Information,No Information,No Information,No Information,No Information,"4.75%, 6.36%",17 days/1 days/4 days,2025-12-13/2025-11-20/2025-11-24,25.34%,5.1%,20.24%,0.17,0.56,497.2499/495.9968/496.62/268.082/491.88/449.7662/496.68,No Recent Maxima/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/No Moving Avg Support,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
TRENDPULSE,"TRI.TO, Short, 2025-09-30 (Price: 216.1)",Monthly,186.14 (Exit Rule),No Date Target,No Exit Yet,"2025-11-20 (Price: 185.77), 14.04% below","88.89%, Past 20 years, 9",-37.08%/-29.35%,"14.04%, 37 days",25.37%/7.99%/21.25%,170.1787 (Avg % Gain of Historic Winning trades)/116.89 (Horizontal)/131.2534 (F-Stack 2),2026-04-07 (Max)/2026-03-05 (Min)/2026-03-18 (Avg),"14.04%, 37 days","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,37 days,No Information,No Information,No Information,No Information,No Information,23.84% below/14.04% below/14.04% below,"21.18%, 25.96%",131 days/108 days/117 days,2026-04-07/2026-03-05/2026-03-18,35.0%,5.4%,29.6%,0.54,0.45,230.5787/170.1787/186.14/116.89/193.124/131.2534/No Moving Avg Target,278.08/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/250.82,100.0%/1/281 days (Across ALL Assets),0.0%/4/112 days (Across ALL Assets)
