"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MFT.NZ, Long, 2025-12-14 (Price: 67.4)",2026-01-18 (Price: 68.99),"2.36%, 1.2 month","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2026-01-27 (Price: 68.42), 1.51% above",1.5 month,"4, 2024-07-28 (Price: 72.0)",2025-12-14 (Price: 67.4),2025-12-14 (Price: 67.4),44/44/44 days,1.51% above/1.51% above/1.51% above,2024-07-28 (Price: 78.0579)/2025-12-14 (Price: 66.7737),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-08-31/2026-01-23/2026-06-23,9.15%,10.41%,-1.26%,1.17,0.61,72.5831/71.3496/70.16/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.86,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),67.0
"TD.TO, Long, 2025-12-14 (Price: 125.8)",2026-01-18 (Price: 130.55),"3.78%, 1.2 month","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2026-01-27 (Price: 130.49), 3.73% above",1.5 month,"2, 2025-06-29 (Price: 99.45)",2025-12-14 (Price: 125.8),2025-12-14 (Price: 125.8),44/44/44 days,3.73% above/3.73% above/3.73% above,2025-06-29 (Price: 99.8746)/2025-12-14 (Price: 122.185),12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,2028-07-09/2026-01-23/2026-07-06,7.49%,5.65%,1.84%,1.01,0.31,134.9205/134.0776/141.61/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/100.5,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),122.0
"^TNX, Long, 2025-12-08 (Price: 4.172)",2026-01-22 (Price: 4.249),"1.85%, 1.5 month","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-08",Already confirmed,"2026-01-27 (Price: 4.213), 0.98% above",1.7 month,"6, 2025-03-21 (Price: 4.252)",2025-12-05 (Price: 4.139),2025-12-08 (Price: 4.172),53/50/50 days,1.79% above/0.98% above/0.98% above,2025-03-21 (Price: 4.7122)/2025-12-08 (Price: 4.12),14.35%/1.59%/5.42%,"7.92%, 30.24%",2.1 months/6 days/19 days,2026-03-09/2025-12-16/2026-01-04,26.36%,9.62%,16.74%,0.75,0.51,4.6939/4.3981/4.22/4.6918/17.4008/18.8284/4.25,4.0/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),4.143
"ATZ.TO, Long, 2025-11-30 (Price: 110.5)",2026-01-18 (Price: 125.22),"13.32%, 1.6 month","100.0%, Past 10 years, 15","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2026-01-27 (Price: 116.25), 5.2% above",1.9 month,"2, 2025-05-18 (Price: 66.25)",2025-11-23 (Price: 105.95),2025-11-30 (Price: 110.5),65/58/58 days,9.72% above/5.2% above/5.2% above,2025-05-18 (Price: 68.8719)/2025-11-30 (Price: 102.2504),29.02%/8.48%/17.19%,"-0.0%, 57.81%",7.7 months/1.2 month/3.5 months,2026-10-30/2026-01-21/2026-05-01,22.65%,15.15%,7.5%,1.82,0.68,115.3068/129.4949/137.05/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,41.91/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/72.64,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),106.85
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",2026-01-25 (Price: 178859.0),"13.39%, 2.3 months","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2026-01-27 (Price: 183033.5938), 16.04% above",2.4 months,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),79/72/72 days,18.8% above/16.04% above/16.04% above,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-06-12/2025-12-26/2026-04-12,7.52%,4.03%,3.49%,2.1,0.18,165058.0896/166588.1579/177361.4/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),154061.0
"ACWX, Long, 2025-10-26 (Price: 66.54)",2026-01-18 (Price: 69.89),"5.03%, 2.8 months","83.33%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-27 (Price: 71.7), 7.75% above",3.1 months,"2, 2025-05-11 (Price: 57.9)",2025-10-26 (Price: 66.54),2025-10-26 (Price: 66.54),93/93/93 days,7.75% above/7.75% above/7.75% above,2025-05-11 (Price: 59.6284)/2025-10-26 (Price: 66.0755),4.87%/1.37%/3.26%,"7.49%, 23.65%",11.9 months/28 days/3 months,2027-03-27/2025-12-05/2026-03-05,5.13%,1.98%,3.15%,0.52,-0.01,68.982/68.7092/71.72/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,51.22/45.07/61.9685/No support/No F-Track Level/No F-Track Level/59.25,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),66.29
"XLE, Long, 2025-10-26 (Price: 44.035)",2026-01-25 (Price: 49.19),"11.71%, 3 months","72.22%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-27 (Price: 49.345), 12.06% above",3.1 months,"4, 2024-11-24 (Price: 48.635)",2025-10-19 (Price: 42.99),2025-10-26 (Price: 44.035),100/93/93 days,14.78% above/12.06% above/12.06% above,2024-11-24 (Price: 49.2193)/2025-10-26 (Price: 42.658),16.62%/0.85%/7.33%,"27.58%, 58.07%",7.9 months/28 days/2.5 months,2026-10-04/2025-12-05/2026-02-11,4.71%,1.43%,3.28%,-0.1,0.05,47.4081/47.2628/46.79/49.2225/53.4428/58.8712/No EMA 200 Target,42.61/22.8475/37.0707/26.9521/No F-Track Level/No F-Track Level/43.51,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),43.065
"TSM, Long, 2025-10-05 (Price: 292.19)",2026-01-25 (Price: 334.87),"14.61%, 3.7 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2026-01-27 (Price: 338.8), 15.95% above",3.8 months,"4, 2024-07-14 (Price: 187.35)",2025-09-21 (Price: 264.87),2025-10-05 (Price: 292.19),128/114/114 days,27.91% above/15.95% above/15.95% above,2024-07-14 (Price: 196.0675)/2025-10-05 (Price: 261.0645),24.83%/4.38%/11.82%,"-0.0%, 31.75%",8.9 months/28 days/3.4 months,2026-10-26/2025-11-14/2026-03-01,13.85%,15.73%,-1.88%,1.66,0.83,333.0089/326.7269/355.09/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,146.8/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/209.36,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),276.49
"VGT, Long, 2025-09-21 (Price: 741.17)",2026-01-18 (Price: 758.95),"2.4%, 4 months","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-27 (Price: 770.6931), 3.98% above",4.3 months,"6, 2024-05-05 (Price: 509.46)",2025-09-14 (Price: 719.57),2025-09-21 (Price: 741.17),135/128/128 days,7.1% above/3.98% above/3.98% above,2024-05-05 (Price: 590.4298)/2025-09-21 (Price: 703.5827),12.53%/2.97%/5.81%,"-0.0%, 12.72%",4.4 months/28 days/2.2 months,2026-03-31/2025-10-31/2025-12-25,9.27%,12.34%,-3.07%,1.8,0.78,802.9836/784.232/880.2/No Horizontal Resistance/702.1644/946.1588/No EMA 200 Target,478.6/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/625.59,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),720.85
"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-27 (Price: 48.24) (Today),"12.82%, 5 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-27 (Price: 48.24), 12.82% above",5 months,"0, 2020-08-31 (Price: 24.88)",2025-08-31 (Price: 42.76),2025-08-29 (Price: 42.76),149/151/149 days,12.82% above/12.82% above/12.82% above,2020-08-31 (Price: 30.7492)/2025-08-31 (Price: 40.7124),12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,47.0446/47.207/53.49/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),40.71
"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-27 (Price: 631.37) (Today),"10.69%, 5 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-27 (Price: 631.37), 10.69% above",5 months,"0, 2020-08-31 (Price: 294.88)",2025-08-31 (Price: 570.4),2025-08-29 (Price: 570.4),149/151/149 days,10.69% above/10.69% above/10.69% above,2020-08-31 (Price: 357.9023)/2025-08-31 (Price: 561.1331),16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,649.1722/640.3881/735.71/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),558.83
"VGT, Long, 2025-08-31 (Price: 697.02)",2026-01-27 (Price: 770.6931) (Today),"10.57%, 5 months","100.0%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-27 (Price: 770.6931), 10.57% above",5 months,"0, 2020-08-31 (Price: 328.15)",2025-08-31 (Price: 697.02),2025-08-29 (Price: 697.02),149/151/149 days,10.57% above/10.57% above/10.57% above,2020-08-31 (Price: 388.487)/2025-08-31 (Price: 683.1357),27.2%/4.39%/15.02%,"-0.0%, 51.21%",1.4 year/4.1 months/8 months,2027-08-29/2026-02-23/2026-08-13,6.44%,9.1%,-2.66%,1.52,0.57,820.1137/801.7124/918.34/No Horizontal Resistance/702.1644/946.1588/No EMA 200 Target,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/618.84,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),683.16
"SFTBY, Long, 2025-07-31 (Price: 9.5375)",2025-12-31 (Price: 14.175),"48.62%, 5.1 months","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-27 (Price: 13.01), 36.41% above",6 months,"2, 2024-07-31 (Price: 7.635)",2025-06-30 (Price: 9.1075),2025-07-31 (Price: 9.5375),211/180/180 days,42.85% above/36.41% above/36.41% above,2024-07-31 (Price: 9.2975)/2025-07-31 (Price: 8.0025),36.66%/36.66%/36.66%,"-0.0%, 64.04%",1 year/1 year/1 year,2027-01-03 (Max),12.92%,8.11%,4.81%,0.88,0.41,9.2132/13.0339/10.68/No Horizontal Resistance/12.0968/14.0995/No EMA 200 Target,6.3/4.205/8.1314/7.1635/No F-Track Level/No F-Track Level/7.34,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),9.2025
"BAC, Long, 2025-07-31 (Price: 47.27)",2025-12-31 (Price: 55.0),"16.35%, 5.1 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-27 (Price: 51.915), 9.83% above",6 months,"8, 2021-07-31 (Price: 38.36)",2025-05-31 (Price: 44.13),2025-07-31 (Price: 47.27),241/180/180 days,17.64% above/9.83% above/9.83% above,2021-07-31 (Price: 51.4786)/2025-07-31 (Price: 42.0938),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-06-08/2026-03-05/2026-08-26,4.68%,2.37%,2.31%,0.29,0.18,55.0601/55.8495/52.62/48.715/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.14,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),47.02
"EEM, Long, 2025-07-31 (Price: 48.56)",2025-12-31 (Price: 54.71),"12.66%, 5.1 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-27 (Price: 60.09), 23.74% above",6 months,"0, 2020-07-31 (Price: 43.29)",2025-05-31 (Price: 45.52),2025-07-31 (Price: 48.56),241/180/180 days,32.01% above/23.74% above/23.74% above,2020-07-31 (Price: 60.0161)/2025-07-31 (Price: 45.2207),23.15%/1.8%/11.72%,"17.13%, 38.01%",1.6 year/4 months/9.6 months,2027-11-12/2026-01-20/2026-09-21,1.85%,4.85%,-3.0%,0.23,0.23,56.1111/54.2512/51.72/51.3833/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,36.7/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.66,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),48.35
"BDGI.TO, Long, 2025-07-31 (Price: 52.29)",2025-12-31 (Price: 73.13),"39.85%, 5.1 months","95.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-27 (Price: 77.68), 48.56% above",6 months,"4, 2023-07-31 (Price: 32.1)",2025-05-31 (Price: 44.61),2025-07-31 (Price: 52.29),241/180/180 days,74.13% above/48.56% above/48.56% above,2023-07-31 (Price: 58.772)/2025-07-31 (Price: 36.956),69.93%/3.87%/34.79%,"37.81%, 54.03%",11.2 months/5 months/6 months,2026-11-29/2026-03-05/2026-04-17,16.29%,14.03%,2.26%,1.02,0.66,103.4139/70.4817/64.4/No Horizontal Resistance/50.7492/58.5532/No EMA 200 Target,35.88/24.32/46.0323/42.8299/No F-Track Level/No F-Track Level/41.26,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),47.67
"NOVA.F, Long, 2025-07-24 (Price: 59.6)",2026-01-22 (Price: 53.0),"-11.07%, 6.1 months","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-07-24",Already confirmed,"2026-01-27 (Price: 52.6), 11.74% below",6.2 months,"2, 2025-06-04 (Price: 63.0)",2025-07-22 (Price: 56.4),2025-07-24 (Price: 59.6),189/187/187 days,6.74% below/11.74% below/11.74% below,2025-06-04 (Price: 75.3098)/2025-07-24 (Price: 55.6012),12.24%/0.47%/4.87%,"-0.0%, 11.68%",1.3 month/6 days/18 days,2025-09-18/2025-08-01/2025-08-19,18.48%,5.98%,12.5%,1.14,0.32,62.9734/62.5025/61.64/126.5/138.0871/146.706/77.43,55.1/31.375/44.5645/40.2093/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),59.2
"TSLA, Long, 2025-05-31 (Price: 346.46)",2026-01-27 (Price: 435.59) (Today),"25.73%, 8 months","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-01-27 (Price: 435.59), 25.73% above",8 months,"6, 2021-11-30 (Price: 381.5867)",2025-04-30 (Price: 282.16),2025-05-31 (Price: 346.46),272/241/241 days,54.38% above/25.73% above/25.73% above,2021-11-30 (Price: 408.2466)/2025-05-31 (Price: 214.4383),7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,2028-02-15 (Max),26.29%,28.82%,-2.53%,0.27,1.04,864.2098/373.4492/367.54/408.5817/413.6779/490.132/No EMA 200 Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),280.01
"BAC, Long, 2025-02-28 (Price: 46.1)",2025-12-31 (Price: 55.0),"19.31%, 10.2 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-01-27 (Price: 51.915), 12.61% above",11.1 months,"0, 2020-02-29 (Price: 28.5)",2024-12-31 (Price: 43.95),2025-02-28 (Price: 46.1),392/333/333 days,18.12% above/12.61% above/12.61% above,2020-02-29 (Price: 54.8024)/2025-02-28 (Price: 43.0714),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-01-06/2025-10-03/2026-03-26,4.68%,2.37%,2.31%,0.29,0.18,53.6973/54.4672/56.66/48.96/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/22.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/42.38,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),45.42
"ATM.NZ, Long, 2025-02-28 (Price: 8.84)",2025-12-31 (Price: 10.78),"21.95%, 10.2 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-01-27 (Price: 9.79), 10.75% above",11.1 months,"0, 2020-02-29 (Price: 16.3)",2025-01-31 (Price: 6.44),2025-02-28 (Price: 8.84),361/333/333 days,52.02% above/10.75% above/10.75% above,2020-02-29 (Price: 23.4877)/2025-02-28 (Price: 6.0111),102.13%/45.63%/81.61%,"-0.0%, 48.4%",2.1 years/10.1 months/1.6 year,2028-02-28/2026-05-12/2027-06-12,19.84%,13.35%,6.49%,1.36,0.6,12.1833/16.0543/13.32/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,4.15/5.185/8.6495/8.0201/No F-Track Level/No F-Track Level/6.78,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),6.37
"MSE.PA, Long, 2025-02-28 (Price: 59.36)",2026-01-27 (Price: 66.83) (Today),"12.58%, 11.1 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-01-27 (Price: 66.83), 12.58% above",11.1 months,"0, 2020-02-29 (Price: 32.4)",2025-02-28 (Price: 59.36),2025-02-28 (Price: 59.36),333/333/333 days,12.58% above/12.58% above/12.58% above,2020-02-29 (Price: 36.9416)/2025-02-28 (Price: 56.3799),11.99%/4.9%/8.12%,"-0.0%, 28.4%",1.7 year/5 months/11.9 months,2027-08-03/2025-10-03/2026-07-30,5.39%,1.99%,3.4%,0.77,-0.0,60.7728/64.18/75.54/No Horizontal Resistance/58.4776/81.1364/No EMA 200 Target,52.08/33.57/44.4738/35.8188/No F-Track Level/No F-Track Level/53.71,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),56.21
"MAR, Long, 2025-02-09 (Price: 303.97)",2026-01-18 (Price: 325.88),"7.21%, 11.4 months","81.48%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-02-07",Already confirmed,"2026-01-27 (Price: 314.17), 3.36% above",11.7 months,"0, 2020-10-18 (Price: 97.76)",2025-01-26 (Price: 284.11),2025-02-07 (Price: 303.97),366/354/352 days,10.58% above/3.36% above/3.36% above,2020-10-18 (Price: 178.0009)/2025-02-09 (Price: 273.3612),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2026-05-19/2025-03-21/2025-05-28,11.8%,10.04%,1.76%,0.46,0.51,348.9576/327.0717/427.7/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,270.76/116.955/275.4012/235.5515/No F-Track Level/No F-Track Level/253.51,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),286.79
"MSE.PA, Long, 2025-01-31 (Price: 57.37)",2025-12-31 (Price: 64.71),"12.79%, 11.1 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-01-31",Already confirmed,"2026-01-27 (Price: 66.83), 16.49% above",1 year,"8, 2019-01-31 (Price: 30.745)",2024-12-31 (Price: 53.33),2025-01-31 (Price: 57.37),392/361/361 days,25.31% above/16.49% above/16.49% above,2019-01-31 (Price: 34.3249)/2025-01-31 (Price: 52.1166),11.99%/4.9%/8.12%,"-0.0%, 28.4%",1.7 year/5 months/11.9 months,2027-07-06/2025-09-05/2026-07-02,5.39%,1.99%,3.4%,0.77,-0.0,58.7354/62.0284/73.34/No Horizontal Resistance/58.4776/81.1364/No EMA 200 Target,52.08/33.57/44.4738/35.8188/No F-Track Level/No F-Track Level/53.19,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),53.23
"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-27 (Price: 260.17) (Today),"11.66%, 1.3 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-01-27 (Price: 260.17), 11.66% above",1.3 year,"2, 2022-07-31 (Price: 162.51)",2024-09-30 (Price: 233.0),2024-09-30 (Price: 233.0),484/484/484 days,11.66% above/11.66% above/11.66% above,2022-07-31 (Price: 175.7774)/2024-09-30 (Price: 216.2229),49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,338.9451/283.4911/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),228.55
"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",2025-12-31 (Price: 9.4),"7.8%, 1.3 year","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-01-27 (Price: 9.5), 8.94% above",1.3 year,"2, 2023-03-31 (Price: 8.41)",2024-08-31 (Price: 8.54),2024-09-30 (Price: 8.72),514/484/484 days,11.24% above/8.94% above/8.94% above,2023-03-31 (Price: 8.938)/2024-09-30 (Price: 7.714),26.44%/7.23%/18.68%,"-0.0%, 15.86%",11.1 months/5.1 months/8.1 months,2026-01-25/2025-05-09/2025-09-16,14.78%,5.28%,9.5%,1.0,0.27,9.6243/10.3489/8.91/8.822/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),8.47
"IEI, Long, 2024-08-31 (Price: 118.72)",2025-12-31 (Price: 119.35),"0.53%, 1.4 year","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2024-08-31",Already confirmed,"2026-01-27 (Price: 119.235), 0.43% above",1.4 year,"0, 2019-08-31 (Price: 127.75)",2024-07-31 (Price: 117.67),2024-08-30 (Price: 118.72),545/515/514 days,1.33% above/0.43% above/0.43% above,2019-08-31 (Price: 143.782)/2024-08-31 (Price: 114.902),1.93%/1.13%/1.45%,"15.13%, 15.6%",11.2 months/6.1 months/8.1 months,2025-12-30/2025-05-23/2025-08-17,1.43%,0.7%,0.73%,-0.36,-0.87,121.7355/120.4414/124.14/133.2183/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,112.29/112.768/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/115.83,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),117.5
"AAPL, Long, 2024-07-31 (Price: 222.08)",2025-12-31 (Price: 271.86),"22.42%, 1.4 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-07-31",Already confirmed,"2026-01-27 (Price: 260.17), 17.15% above",1.5 year,"0, 2019-07-31 (Price: 53.26)",2024-06-30 (Price: 210.62),2024-07-31 (Price: 222.08),576/545/545 days,23.53% above/17.15% above/17.15% above,2019-07-31 (Price: 117.046)/2024-07-31 (Price: 210.526),49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-02-24/2025-03-09/2025-10-30,17.77%,21.49%,-3.72%,2.41,1.03,323.0598/270.2047/323.37/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/189.12,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),212.09
"ASML, Long, 2024-01-31 (Price: 869.82)",2026-01-27 (Price: 1458.765) (Today),"67.71%, 2 years","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-01-27 (Price: 1458.765), 67.71% above",2 years,"0, 2019-01-31 (Price: 175.03)",2024-01-31 (Price: 869.82),2024-01-31 (Price: 869.82),727/727/727 days,67.71% above/67.71% above/67.71% above,2019-01-31 (Price: 1076.2209)/2024-01-31 (Price: 738.1755),42.83%/5.07%/18.51%,"28.83%, 59.07%",1.4 year/5.1 months/1 year,2026-01-28/2024-09-08/2025-07-05,8.92%,10.16%,-1.24%,0.75,0.49,1035.4337/1030.8237/1286.69/888.525/1034.6774/1091.1724/No EMA 200 Target,588.66/188.78/832.8601/749.8177/No F-Track Level/No F-Track Level/678.52,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),730.0
