Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,84.3925 (Horizontal),No Date Target,No Exit Yet,"2025-11-14 (Price: 84.87), 8.63% above","96.55%, Past 20 years, 29",11.96%/37.12%,"8.63%, 59 days",229.84%/0.22%/48.95%,116.3746 (Avg % Gain of Historic Winning trades)/136.67 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/257.704 (Backtested Best)/116.3746 (Backtested Avg),2033-06-22 (Farthest)/2026-01-14 (Earliest)/2029-05-17 (Avg),"8.63%, 59 days","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2025-11-14 (Price: 84.87), 8.63% above",59 days,No Information,No Information,No Information,"23.66% (Price: 74.9167), 13.29% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,"14.17%, 65.83%",1974 days/99 days/941 days,2033-06-22/2026-01-14/2029-05-17,4.97%,16.95%,-11.98%,0.35,0.61,82.4584/116.3746/136.67/84.3925/95.0177/123.2166,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.19/75.0,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
BAND MATRIX,"SUM.NZ, Long, 2025-08-12 (Price: 10.85)",Daily,12.42 (Avg % Gain of Historic Winning trades)/12.42 (Backtested Avg),No Date Target,No Exit Yet,"2025-11-14 (Price: 12.25), 12.9% above","80.0%, Past 5 years, 5",8.94%/9.55%,"12.9%, 68 days",23.68%/6.88%/14.47%,13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.4193 (Backtested Best),2026-10-27 (Farthest)/2026-02-07 (Earliest)/2026-05-28 (Avg),"12.9%, 68 days","Daily, was CONFIRMED on 2025-08-12",No Cancellation Possible,"2025-11-14 (Price: 12.25), 12.9% above",68 days,No Information,No Information,No Information,No Information,No Information,No Information,"30.65%, 45.64%",305 days/124 days/200 days,2026-10-27/2026-02-07/2026-05-28,1.1%,2.28%,-1.18%,0.13,0.03,10.582/12.42/11.5/13.345/19.8479/26.5969,10.7/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,11.34/11.45,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-08-11 (Price: 573.59)",Daily,No Price Target,2025-11-18 (Earliest),No Exit Yet,"2025-11-14 (Price: 545.73), 4.86% below","93.1%, Past 5 years, 29",23.34%/31.22%,"-4.86%, 69 days",52.16%/1.79%/24.85%,716.1271 (Avg % Gain of Historic Winning trades)/673.1 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/872.7745 (Backtested Best)/716.1271 (Backtested Avg),2029-03-16 (Farthest)/2025-11-18 (Earliest)/2027-03-09 (Avg),"-4.86%, 69 days","Daily, was CONFIRMED on 2025-08-11",Already confirmed,"2025-11-14 (Price: 545.73), 4.86% below",69 days,No Information,No Information,No Information,"23.66% (Price: 555.4699), 1.75% below, Upmove Bounce Back","2024-07-24 (Price: 428.86), 2025-06-11 (Price: 594.71)",No Information,"1.45%, 28.57%",907 days/69 days/397 days,2029-03-16/2025-11-18/2027-03-09,8.0%,12.16%,-4.16%,0.57,0.46,582.9395/716.1271/673.1/588.47/716.5814/751.3605,550.18/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level,568.49/561.37,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
BASELINEDIVERGENCE,"QQQ, Long, 2025-08-10 (Price: 574.55)",Weekly,No Price Target,No Date Target,2025-11-14 (Price: 608.86) (Today),"2025-11-14 (Price: 608.86), 5.97% above","85.53%, Past 10 years, 76",4.14%/4.14%,"5.97%, 69 days",44.95%/0.81%/10.36%,643.9556 (Historic Rise or Fall to Pivot)/634.0734 (Avg % Gain of Historic Winning trades)/836.2536 (F-Stack 2)/832.8102 (Backtested Best)/634.0734 (Backtested Avg),2026-03-13 (Farthest)/2025-12-05 (Avg),"5.97%, 69 days","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,"2025-11-14 (Price: 608.86), 5.97% above",69 days,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,"13.49%, 27.25%",149 days/44 days/81 days,2026-03-13/2025-10-12/2025-12-05,23.29%,18.13%,5.16%,0.88,0.81,643.9556/634.0734/610.7303/No Horizontal Resistance/610.7303/836.2536,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,605.86/541.73,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
BASELINEDIVERGENCE,"SPY, Long, 2025-08-10 (Price: 637.18)",Weekly,No Price Target,No Date Target,2025-11-14 (Price: 671.93) (Today),"2025-11-14 (Price: 671.93), 5.45% above","90.48%, Past 10 years, 21",2.81%/4.53%,"5.45%, 69 days",10.23%/0.46%/4.63%,690.8306 (Historic Rise or Fall to Pivot)/969.1148 (Exit Rule)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/702.3635 (Backtested Best),2026-02-05 (Farthest)/2025-11-26 (Avg),"5.45%, 69 days","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,"2025-11-14 (Price: 671.93), 5.45% above",69 days,No Information,"^GSPC, Tangent Case",No Information,No Information,No Information,No Information,"5.53%, 12.25%",124 days/44 days/75 days,2026-02-05/2025-10-12/2025-11-26,8.38%,12.23%,-3.85%,0.78,0.56,690.8306/666.6814/969.1148/No Horizontal Resistance/969.1148/1522.3697,505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level,668.48/613.15,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
BAND MATRIX,"DOL.TO, Long, 2025-07-24 (Price: 185.86)",Daily,No Price Target,2025-11-18 (Avg),No Exit Yet,"2025-11-14 (Price: 194.93), 4.88% above","100.0%, Past 5 years, 11",6.49%/8.07%,"4.88%, 81 days",39.41%/3.85%/15.01%,207.587 (Historic Rise or Fall to Pivot)/213.7576 (Avg % Gain of Historic Winning trades)/210.67 (Exit Rule)/294.0831 (F-Stack 2)/259.1074 (Backtested Best)/213.7576 (Backtested Avg),2026-06-22 (Farthest)/2025-11-18 (Avg),"4.88%, 81 days","Daily, was CONFIRMED on 2025-07-24",No Cancellation Possible,"2025-11-14 (Price: 194.93), 4.88% above",81 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 11.58%",230 days/21 days/81 days,2026-06-22/2025-08-23/2025-11-18,37.24%,30.26%,6.98%,1.39,1.4,207.587/213.7576/210.67/No Horizontal Resistance/194.1559/294.0831,185.8/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level,184.46/174.38,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
BAND MATRIX,"RELIANCE.NS, Long, 2025-07-23 (Price: 1424.6)",Daily,1514.2073 (Historic Rise or Fall to Pivot),2025-11-12 (Avg),No Exit Yet,"2025-11-14 (Price: 1518.9), 6.62% above","77.78%, Past 5 years, 9",1.54%/2.59%,"6.62%, 82 days",19.89%/8.26%/12.48%,1602.3901 (Avg % Gain of Historic Winning trades)/1558.3 (Exit Rule)/1879.7264 (F-Stack 1)/2250.6285 (F-Stack 2)/1707.9529 (Backtested Best)/1542.272 (Backtested Worst)/1602.3901 (Backtested Avg),2026-02-22 (Farthest),"6.62%, 82 days","Daily, was CONFIRMED on 2025-07-23",No Cancellation Possible,"2025-11-14 (Price: 1518.9), 6.62% above",82 days,No Information,No Information,No Information,No Information,No Information,No Information,"12.12%, 24.71%",148 days/31 days/78 days,2026-02-22/2025-09-05/2025-11-12,16.33%,10.71%,5.62%,0.69,0.42,1514.2073/1602.3901/1558.3/No Horizontal Resistance/1879.7264/2250.6285,1412.8/853.4344/1375.0525/1032.6763/No F-Track Level/No F-Track Level,1422.11/1372.26,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
PULSEGAUGE,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",Weekly,84.9567 (Horizontal),2025-11-13 (Avg),No Exit Yet,"2025-11-14 (Price: 84.87), 7.68% above","76.47%, Past 25 years, 17",11.96%/11.96%,"7.68%, 94 days",30.16%/21.82%/24.74%,98.3201 (Avg % Gain of Historic Winning trades)/95.0177 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/102.5921 (Backtested Best)/96.0185 (Backtested Worst)/98.3201 (Backtested Avg),2025-12-18 (Farthest),"7.68%, 94 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-11-14 (Price: 84.87), 7.68% above",94 days,No Information,No Information,No Information,No Information,No Information,No Information,"19.57%, 28.14%",114 days/34 days/90 days,2025-12-18/2025-08-24/2025-11-13,3.96%,21.39%,-17.43%,0.12,0.74,81.5708/98.3201/95.0177/84.9567/95.0177/123.2166,65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.19/75.0,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"CNQ.TO, Long, 2025-07-06 (Price: 43.77)",Weekly,47.1228 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-14 (Price: 47.06), 7.52% above","88.24%, Past 25 years, 17",9.46%/12.3%,"7.52%, 94 days",26.87%/20.74%/22.43%,53.5876 (Avg % Gain of Historic Winning trades)/65.8353 (Exit Rule)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/55.531 (Backtested Best)/52.8479 (Backtested Worst)/53.5876 (Backtested Avg),2026-03-15 (Farthest),"7.52%, 94 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-11-14 (Price: 47.06), 7.52% above",94 days,No Information,No Information,No Information,No Information,No Information,No Information,"16.17%, 28.13%",174 days/14 days/57 days,2026-03-15/2025-07-26/2025-09-26,26.48%,11.63%,14.86%,0.45,0.42,47.1228/53.5876/65.8353/51.51/65.8353/68.6522,37.72/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level,44.24/42.88,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"MFT.NZ, Long, 2025-07-06 (Price: 66.8)",Weekly,No Price Target,2025-11-14 (Avg),No Exit Yet,"2025-11-14 (Price: 67.58), 1.17% above","88.24%, Past 25 years, 17",1.36%/19.28%,"1.17%, 94 days",27.05%/20.67%/22.85%,68.4967 (Historic Rise or Fall to Pivot)/82.0638 (Avg % Gain of Historic Winning trades)/105.252 (Exit Rule)/85.45 (Horizontal)/105.252 (F-Stack 1)/119.9356 (F-Stack 2)/84.8694 (Backtested Best)/80.6076 (Backtested Worst)/82.0638 (Backtested Avg),2026-03-29 (Farthest),"1.17%, 94 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-11-14 (Price: 67.58), 1.17% above",94 days,No Information,No Information,No Information,No Information,No Information,No Information,"24.63%, 24.63%",184 days/34 days/91 days,2026-03-29/2025-08-24/2025-11-14,25.75%,16.07%,9.69%,0.37,0.63,68.4967/82.0638/105.252/85.45/105.252/119.9356,57.71/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level,61.82/64.15,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"INDA, Long, 2025-07-06 (Price: 55.79)",Weekly,No Price Target,2025-11-19 (Earliest),No Exit Yet,"2025-11-14 (Price: 54.62), 2.1% below","80.0%, Past 13 years, 10",2.97%/22.37%,"-2.1%, 94 days",20.61%/20.19%/20.42%,56.2419 (Historic Rise or Fall to Pivot)/67.1823 (Avg % Gain of Historic Winning trades)/66.8401 (Exit Rule)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/67.2883 (Backtested Best)/67.054 (Backtested Worst)/67.1823 (Backtested Avg),2026-03-15 (Farthest)/2025-11-19 (Earliest)/2026-01-27 (Avg),"-2.1%, 94 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-11-14 (Price: 54.62), 2.1% below",94 days,No Information,No Information,No Information,No Information,No Information,No Information,"15.84%, 19.38%",174 days/94 days/142 days,2026-03-15/2025-11-19/2026-01-27,12.68%,5.13%,7.55%,0.23,0.14,56.2419/67.1823/66.8401/No Horizontal Resistance/66.8401/79.771,48.1/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level,53.59/52.8,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"META, Long, 2025-07-06 (Price: 719.01)",Weekly,No Price Target,2025-11-19 (Farthest),2025-11-14 (Price: 609.46) (Today),"2025-11-14 (Price: 609.46), 15.24% below","100.0%, Past 13 years, 10",38.23%/38.23%,"-15.24%, 94 days",27.47%/20.35%/22.69%,882.1534 (Avg % Gain of Historic Winning trades)/842.484 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/916.522 (Backtested Best)/865.3285 (Backtested Worst)/882.1534 (Backtested Avg),2025-11-19 (Farthest),"-15.24%, 94 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-11-14 (Price: 609.46), 15.24% below",94 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 16.89%",94 days/34 days/67 days,2025-11-19/2025-08-24/2025-10-11,78.09%,22.84%,55.25%,1.02,0.73,773.511/882.1534/842.484/No Horizontal Resistance/842.484/1305.5879,501.48/241.8667/556.264/3267.3398/No F-Track Level/No F-Track Level,713.72/677.46,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",Monthly,No Price Target,No Date Target,2025-11-14 (Price: 8.115) (Today),"2025-11-14 (Price: 8.115), 23.33% above","100.0%, Past 20 years, 9",3.86%/3.86%,"23.33%, 99 days",44.06%/6.89%/28.09%,8.4283 (Avg % Gain of Historic Winning trades)/8.67 (Exit Rule)/8.5311 (F-Stack 1)/12.0421 (F-Stack 2)/9.4791 (Backtested Best)/8.4283 (Backtested Avg),2026-12-17 (Farthest)/2026-01-04 (Earliest)/2026-05-23 (Avg),"23.33%, 99 days","Monthly, is CONFIRMED on 2025-06-30",Already confirmed,"2025-11-14 (Price: 8.115), 23.33% above",99 days,No Information,No Information,No Information,No Information,No Information,31.95% above/23.33% above/23.33% above,"-0.0%, 15.01%",370 days/130 days/226 days,2026-12-17/2026-01-04/2026-05-23,27.24%,1.15%,26.09%,1.21,-0.07,7.596/8.4283/8.67/No Horizontal Resistance/8.5311/12.0421,3.0/2.942/6.3611/26.9153/No F-Track Level/No F-Track Level,6.09/5.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,84.9567 (Horizontal),No Date Target,No Exit Yet,"2025-11-14 (Price: 84.87), 8.13% above","100.0%, Past 31 years, 16",1.29%/3.1%,"8.13%, 99 days",7355.0%/9.52%/1157.17%,87.5007 (Historic Rise or Fall to Pivot)/986.7527 (Avg % Gain of Historic Winning trades)/135.41 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/5851.4295 (Backtested Best)/85.9622 (Backtested Worst)/986.7527 (Backtested Avg),2040-03-26 (Farthest)/2026-02-06 (Earliest)/2030-06-02 (Avg),"8.13%, 99 days","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-11-14 (Price: 84.87), 8.13% above",99 days,No Information,No Information,No Information,"38.2% (Price: 61.7578), 37.42% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,"-0.0%, 70.23%",3717 days/153 days/1242 days,2040-03-26/2026-02-06/2030-06-02,13.79%,17.66%,-3.88%,0.26,0.62,87.5007/986.7527/135.41/84.9567/95.0177/123.2166,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.19/75.0,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
FRACTAL TRACK,"TD.TO, Long, 2025-06-30 (Price: 100.16)",Quarterly,115.2441 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-14 (Price: 114.05), 13.87% above","100.0%, Past 53 years, 11",12.82%/19.42%,"13.87%, 99 days",71.52%/15.06%/41.04%,141.2657 (Avg % Gain of Historic Winning trades)/136.2 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/171.7944 (Backtested Best)/141.2657 (Backtested Avg),2032-09-25 (Farthest)/2028-05-03 (Earliest)/2030-01-30 (Avg),"13.87%, 99 days","Quarterly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-11-14 (Price: 114.05), 13.87% above",99 days,No Information,No Information,No Information,"61.8% (Price: 71.9567), 58.5% above, Upmove Bounce Back","2020-03-31 (Price: 49.01), 2022-03-31 (Price: 109.08)",No Information,"-0.0%, 23.77%",1826 days/717 days/1157 days,2032-09-25/2028-05-03/2030-01-30,5.49%,10.52%,-5.02%,0.61,0.4,107.7221/141.2657/136.2/No Horizontal Resistance/128.6672/152.0396,75.2/73.6233/83.3451/69.6282/No F-Track Level/No F-Track Level,111.2/97.06,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-05-31 (Price: 94.77)",Monthly,116.24 (Exit Rule)/115.1645 (Backtested Best),No Date Target,2025-10-31 (Price: 115.16),"2025-11-14 (Price: 114.05), 20.34% above","88.24%, Past 20 years, 17",12.82%/33.31%,"20.34%, 119 days",21.52%/1.04%/11.02%,128.6672 (F-Stack 1)/152.0396 (F-Stack 2),2026-09-16 (Farthest)/2026-02-28 (Avg),"21.52%, 109 days","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-14 (Price: 114.05), 20.34% above",119 days,No Information,No Information,No Information,No Information,No Information,29.47% above/20.34% above/20.34% above,"18.56%, 26.48%",327 days/86 days/189 days,2026-09-16/2025-10-02/2026-02-28,7.3%,7.14%,0.16%,0.86,0.25,103.9343/105.2137/116.24/No Horizontal Resistance/128.6672/152.0396,75.2/73.6233/83.3451/69.6282/No F-Track Level/No F-Track Level,87.04/82.55,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-05-31 (Price: 172.85)",Monthly,281.8146 (Backtested Best),No Date Target,2025-10-31 (Price: 281.82),"2025-11-14 (Price: 276.98), 60.24% above","94.12%, Past 20 years, 17",No Next Target,"60.24%, 119 days",63.04%/1.54%/29.75%,No Next Target,2027-01-17 (Farthest)/2026-03-15 (Avg),"63.04%, 109 days","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-14 (Price: 276.98), 60.24% above",119 days,No Information,No Information,No Information,No Information,No Information,60.24% above/60.24% above/60.24% above,"3.21%, 18.92%",412 days/86 days/199 days,2027-01-17/2025-10-02/2026-03-15,22.75%,24.26%,-1.52%,1.49,0.85,188.7349/224.2729/233.69/No Horizontal Resistance/219.0619/240.3589,156.23/85.8978/138.1748/130.09/No F-Track Level/No F-Track Level,161.79/172.82,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,195.8091 (Historic Rise or Fall to Pivot)/194.1559 (F-Stack 1),No Date Target,No Exit Yet,"2025-11-14 (Price: 194.93), 10.44% above","100.0%, Past 20 years, 12",3.53%/3.53%,"10.44%, 119 days",24.69%/2.92%/14.34%,201.8101 (Avg % Gain of Historic Winning trades)/233.0 (Exit Rule)/294.0831 (F-Stack 2)/220.0779 (Backtested Best)/201.8101 (Backtested Avg),2026-06-11 (Farthest)/2026-01-24 (Avg),"10.44%, 119 days","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-14 (Price: 194.93), 10.44% above",119 days,No Information,No Information,No Information,No Information,No Information,10.44% above/10.44% above/10.44% above,"-0.0%, 12.12%",260 days/107 days/165 days,2026-06-11/2025-11-01/2026-01-24,19.68%,27.97%,-8.29%,1.55,1.28,195.8091/201.8101/233.0/No Horizontal Resistance/194.1559/294.0831,39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level,164.56/147.05,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
BAND MATRIX,"MSFT, Long, 2025-03-16 (Price: 388.56)",Weekly,517.4523 (F-Stack 1),No Date Target,No Exit Yet,"2025-11-14 (Price: 510.18), 31.3% above","100.0%, Past 15 years, 4",7.38%/7.38%,"31.3%, 174 days",58.94%/17.96%/40.99%,547.8307 (Avg % Gain of Historic Winning trades)/553.3726 (F-Stack 2)/617.5773 (Backtested Best)/547.8307 (Backtested Avg),2027-03-01 (Farthest)/2026-06-21 (Avg),"31.3%, 174 days","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2025-11-14 (Price: 510.18), 31.3% above",174 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 24.16%",494 days/164 days/319 days,2027-03-01/2025-11-08/2026-06-21,12.39%,21.5%,-9.11%,1.12,0.9,454.8872/547.8307/501.36/462.255/517.4523/553.3726,367.75/216.39/386.873/350.287/No F-Track Level/No F-Track Level,514.26/464.71,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
BAND MATRIX,"SOXX, Long, 2025-03-16 (Price: 201.12)",Weekly,301.3628 (F-Stack 2),No Date Target,No Exit Yet,"2025-11-14 (Price: 288.52), 43.46% above","100.0%, Past 15 years, 6",14.28%/14.28%,"43.46%, 174 days",184.44%/3.33%/63.94%,329.7161 (Avg % Gain of Historic Winning trades)/572.0657 (Backtested Best)/329.7161 (Backtested Avg),2028-07-27 (Farthest)/2026-01-19 (Earliest)/2027-01-08 (Avg),"43.46%, 174 days","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2025-11-14 (Price: 288.52), 43.46% above",174 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 33.46%",849 days/214 days/458 days,2028-07-27/2026-01-19/2027-01-08,18.84%,20.64%,-1.8%,0.8,0.78,199.7323/329.7161/264.72/239.6067/254.997/301.3628,198.39/95.6666/161.2/103.2303/No F-Track Level/No F-Track Level,282.18/233.04,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,165.2679 (Avg % Gain of Historic Winning trades)/165.2679 (Backtested Avg),No Date Target,No Exit Yet,"2025-11-14 (Price: 161.8), 30.03% above","100.0%, Past 15 years, 6",16.6%/24.31%,"30.03%, 189 days",61.64%/4.69%/32.82%,188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Best),2028-12-05 (Farthest)/2025-12-08 (Earliest)/2027-03-13 (Avg),"30.03%, 189 days","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,"2025-11-14 (Price: 161.8), 30.03% above",189 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 42.56%",954 days/199 days/517 days,2028-12-05/2025-12-08/2027-03-13,11.98%,10.84%,1.14%,1.17,0.44,128.4242/165.2679/146.85/No Horizontal Resistance/188.6608/207.1743,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level,152.79/136.16,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
BAND MATRIX,"SJ.TO, Long, 2024-11-10 (Price: 72.37)",Weekly,84.9567 (Horizontal),No Date Target,No Exit Yet,"2025-11-14 (Price: 84.87), 17.27% above","80.0%, Past 15 years, 5",10.36%/11.96%,"17.27%, 264 days",115.1%/12.67%/52.09%,110.0675 (Avg % Gain of Historic Winning trades)/93.66 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/155.6679 (Backtested Best)/110.0675 (Backtested Avg),2026-05-20 (Farthest),"17.27%, 264 days","Weekly, was CONFIRMED on 2024-11-10",No Cancellation Possible,"2025-11-14 (Price: 84.87), 17.27% above",264 days,No Information,No Information,No Information,No Information,No Information,No Information,"3.15%, 49.7%",384 days/109 days/242 days,2026-05-20/2025-04-16/2025-10-26,11.24%,17.49%,-6.25%,0.59,0.68,77.2622/110.0675/93.66/84.9567/95.0177/123.2166,62.46/38.7075/66.807/60.0601/No F-Track Level/No F-Track Level,80.19/75.0,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2024-06-30 (Price: 30.08)",Quarterly,No Price Target,No Date Target,2025-11-14 (Price: 37.69) (Today),"2025-11-14 (Price: 37.69), 25.3% above","100.0%, Past 24 years, 6",2.97%/8.6%,"25.3%, 359 days",589.02%/487.3%/538.16%,191.9585 (Avg % Gain of Historic Winning trades)/51.7 (Exit Rule)/38.8108 (F-Stack 1)/40.9296 (F-Stack 2)/207.2572 (Backtested Best)/176.6598 (Backtested Worst)/191.9585 (Backtested Avg),2038-09-20 (Farthest)/2037-09-08 (Earliest)/2038-03-16 (Avg),"25.3%, 359 days","Quarterly, was CONFIRMED on 2024-06-30",Already confirmed,"2025-11-14 (Price: 37.69), 25.3% above",359 days,No Information,No Information,No Information,"50% (Price: 19.875), 89.64% above, Upmove Bounce Back","2012-09-30 (Price: 1.86), 2020-09-30 (Price: 37.89)",No Information,"-0.0%, 48.03%",3587 days/3327 days/3457 days,2038-09-20/2037-09-08/2038-03-16,9.52%,13.97%,-4.45%,0.67,0.5,36.7818/191.9585/51.7/37.034/38.8108/40.9296,18.5/22.675/28.7839/26.1935/No F-Track Level/No F-Track Level,37.16/35.99,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
