Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",Daily,2026-02-02 (Price: 53.28) (Today),No Price Target,2026-02-04 (Avg),0.75%/0.76%,"2.86%, 11 days","2026-02-02 (Price: 53.28), 2.86% above",54.3641 (Historic Rise or Fall to Pivot)/53.71 (Function Specific Target)/55.3975 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/53.68 (EMA 200)/53.6855 (Backtested Max),2026-03-03 (Max)/2026-02-04 (Avg),51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,"78.57%, Past 4 years, 14",51.72,No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,5.73%,3.54%,2.19%,0.28,0.12,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2025-11-16 (Price: 217.11)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Min),3.97%/9.79%,"5.04%, 2.6 months","2026-02-03 (Price: 228.05), 5.04% above",237.1058 (Historic Rise or Fall to Pivot)/256.2766 (Avg % Gain of Historic Winning trades)/252.85 (Function Specific Target)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/267.7835 (Backtested Max)/250.3713 (Backtested Min),2027-11-14 (Max)/2026-02-06 (Min)/2026-08-12 (Avg),209.51/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.42,"91.67%, Past 20 years, 12",214.22,No Information,No Information,No Information,"88.6% (Price: 205.401), 11.03% above, Upmove Bounce Back","2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",No Information,23.34%/15.32%/18.04%,"1.41%, 35.96%",1.4 year/1.9 month/6.2 months,10.74%,18.6%,-7.86%,1.09,0.92,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"MFT.NZ, Long, 2025-12-28 (Price: 69.01)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Min),5.94%/7.81%,"-5.59%, 1.2 month","2026-02-03 (Price: 65.15), 5.59% below",74.3169 (Historic Rise or Fall to Pivot)/73.054 (Avg % Gain of Historic Winning trades)/69.02 (Function Specific Target)/85.45 (Horizontal)/105.252 (F-Stack 1)/119.9356 (F-Stack 2)/78.3471 (Backtested Max)/70.2384 (Backtested Min),2027-09-14 (Max)/2026-02-06 (Min)/2026-07-07 (Avg),58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.83,"90.91%, Past 10 years, 22",68.29,No Information,No Information,No Information,No Information,No Information,4.56% below/5.59% below/5.59% below,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,9.15%,10.41%,-1.26%,1.17,0.61,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"CNU.NZ, Long, 2025-11-02 (Price: 9.36)",Weekly,No Exit Yet,No Price Target,2026-02-01 (Min),2.11%/3.86%,"3.1%, 3.1 months","2026-02-03 (Price: 9.65), 3.1% above",10.0835 (Historic Rise or Fall to Pivot)/10.8801 (Avg % Gain of Historic Winning trades)/10.83 (Function Specific Target)/10.0225 (F-Stack 1)/12.705 (F-Stack 2)/12.1324 (Backtested Max)/9.8533 (Backtested Min),2031-04-06 (Max)/2027-05-29 (Avg),9.2/6.0983/9.3249/7.51/No F-Track Level/No F-Track Level/9.01,"100.0%, Past 14 years, 12",9.2,No Information,No Information,No Information,"38.2% (Price: 9.046), 6.68% above, Upmove Bounce Back","2025-03-23 (Price: 7.535), 2025-09-07 (Price: 9.98)",No Information,29.62%/5.27%/16.24%,"-0.0%, 27.27%",3.8 years/2.1 months/1.1 year,13.05%,5.28%,7.77%,1.99,0.26,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.7478 (Backtested Min),No Date Target,5.85%/9.51%,"10.39%, 4.2 months","2026-02-03 (Price: 3.72), 10.39% above",3.9375 (Historic Rise or Fall to Pivot)/4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",3.13,No Information,No Information,No Information,No Information,No Information,18.1% above/10.39% above/10.39% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-16 (Price: 12.25)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Max),9.8%/12.01%,"-6.2%, 2.6 months","2026-02-03 (Price: 11.49), 6.2% below",13.5301 (Historic Rise or Fall to Pivot)/13.0499 (Avg % Gain of Historic Winning trades)/12.87 (Function Specific Target)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.5595 (Backtested Max)/12.6163 (Backtested Min),2026-02-06 (Max),10.66/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.45,"90.91%, Past 10 years, 11",11.86,No Information,No Information,No Information,No Information,No Information,3.12% below/6.2% below/6.2% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,-0.02%,11.46%,-11.48%,0.54,0.63,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"FSF.NZ, Long, 2025-10-05 (Price: 8.15)",Weekly,No Exit Yet,No Price Target,2026-02-03 (Avg),4.07%/4.51%,"-0.63%, 4 months","2026-02-03 (Price: 8.099), 0.63% below",8.4646 (Historic Rise or Fall to Pivot)/8.6145 (Avg % Gain of Historic Winning trades)/9.56 (Function Specific Target)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/9.234 (Backtested Max),2026-10-13 (Max),4.83/2.942/6.3611/No support/No F-Track Level/No F-Track Level/6.09,"80.0%, Past 10 years, 15",7.94,No Information,No Information,No Information,No Information,No Information,2.39% above/0.63% below/0.63% below,13.3%/1.25%/5.7%,"10.05%, 27.7%",8.6 months/28 days/2.8 months,4.87%,0.56%,4.31%,0.36,-0.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"CAD=X, Long, 2026-02-02 (Price: 1.3636)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),0.22%/0.5%,"0.22%, 1 day","2026-02-03 (Price: 1.3666), 0.22% above",1.3846 (Historic Rise or Fall to Pivot)/1.3734 (Avg % Gain of Historic Winning trades)/1.38 (Function Specific Target)/1.3921 (Horizontal)/1.38 (EMA 200)/1.3805 (Backtested Max)/1.3696 (Backtested Min),2026-03-26 (Max)/2026-02-04 (Min)/2026-02-20 (Avg),1.35/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 15",1.3636,No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.44%/0.72%,"1.99%, 2.15%",1.2 month/2 days/13 days,4.14%,1.03%,3.11%,0.22,-0.46,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",Monthly,2026-01-31 (Price: 716.5),No Price Target,No Date Target,-68.42%/-60.34%,"-9.02%, 2.2 months","2026-02-03 (Price: 706.41), 9.02% above",559.6344 (Historic Rise or Fall to Pivot)/554.6452 (Avg % Gain of Historic Winning trades)/223.05 (Function Specific Target)/280.19 (Horizontal)/556.264 (F-Stack 1),2026-04-13 (Max)/2026-02-11 (Avg),No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,"100.0%, Past 13 years, 4",656.0,No Information,No Information,No Information,"23.66% (Price: 628.6993), 12.36% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,10.6%,5.4%,5.2%,0.76,0.8,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
TRENDPULSE,"ORCL, Short, 2026-01-21 (Price: 173.88)",Daily,No Exit Yet,159.674 (Historic Rise or Fall to Pivot),2026-01-31 (Min),-48.27%/-4.81%,"7.95%, 12 days","2026-02-02 (Price: 160.06), 7.95% below",155.23 (Function Specific Target)/82.7925 (Horizontal)/152.3597 (F-Stack 2),2026-02-18 (Max)/2026-02-05 (Avg),No support/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No support,"88.89%, Past 4 years, 9",179.68,No Information,No Information,No Information,No Information,No Information,16.24% below/7.95% below/7.95% below,9.31%/3.55%/5.63%,"12.19%, 12.03%",20 days/7 days/11 days,8.19%,5.2%,2.99%,0.56,0.75,No Data (Across ALL Assets),71.43%/7/10 days (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",Quarterly,2026-02-03 (Price: 82.76) (Today),No Price Target,No Date Target,-72.15%/-57.87%,"11.73%, 1.1 month","2026-02-03 (Price: 82.76), 11.73% below",66.1196 (Avg % Gain of Historic Winning trades)/23.05 (Function Specific Target)/34.8663 (Horizontal)/77.567 (F-Stack 2),2026-05-14 (Max)/2026-05-10 (Min)/2026-05-10 (Min),No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 23 years, 6",117.549,No Information,No Information,No Information,"23.66% (Price: 106.2331), 22.1% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,11.77%,5.5%,6.27%,1.3,0.88,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
OSCILLATOR DELTA,"LULU, Short, 2026-01-29 (Price: 172.54)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),-42.97%/-21.01%,"-3.79%, 4 days","2026-02-02 (Price: 179.08), 3.79% above",152.1458 (Historic Rise or Fall to Pivot)/160.7728 (Avg % Gain of Historic Winning trades)/156.46 (Function Specific Target)/159.855 (Horizontal)/141.4621 (F-Stack 1)/102.1221 (F-Stack 2),2026-04-08 (Max)/2026-02-28 (Avg),No Recent Maxima/159.855/141.4621/102.1221/No F-Track Level/No F-Track Level/No support,"100.0%, Past 6 years, 4",179.62,No Information,No Information,No Information,No Information,No Information,No Information,10.36%/5.08%/6.82%,"0.0%, 23.9%",1.6 month/3 days/21 days,11.58%,5.2%,6.38%,2.72,0.08,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
