Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2022-12-31 (Price: 85.85)",2025-12-31 (Price: 122.74),"42.97%, 3 years","100.0%, Past 34 years, 7","Quarterly, is CONFIRMED on 2022-12-31",Already confirmed,"2026-02-04 (Price: 146.23), 70.33% above",3.1 years,62.4,No Information,No Information,No Information,No Information,No Information,137.04% above/70.33% above/70.33% above,48.53%/11.57%/42.07%,"-0.0%, 24.28%",3 years/1.5 year/2.3 years,2027-04-13/2025-02-20/2026-04-11,9.69%,12.1%,-2.41%,1.59,0.53,107.2181/121.9671/90.9/No Horizontal Resistance/123.4541/140.4376/No EMA 200 Target,58.26/56.99/75.3922/65.1312/No F-Track Level/No F-Track Level/67.59,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-02-04 (Price: 13.3) (Today),"6.17%, 1.2 month","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 13.3), 6.17% below",1.2 month,15.6175,No Information,No Information,No Information,"50.0% (Price: 13.3475), 0.36% below, Upmove Break Below","2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",No Information,18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/12.36,No support/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",2026-02-04 (Price: 80.16) (Today),"14.51%, 1.2 month","100.0%, Past 23 years, 6","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 80.16), 14.51% below",1.2 month,117.549,No Information,No Information,No Information,"23.66% (Price: 106.2331), 24.54% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,2026-05-14/2026-05-10/2026-05-10,11.77%,5.5%,6.27%,1.3,0.88,184.1259/66.1196/23.05/34.8663/86.4764/77.567/No EMA 200 Target,No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
FRACTAL TRACK,"C6L.SI, Short, 2025-12-31 (Price: 6.4)",2026-02-04 (Price: 6.6) (Today),"-3.12%, 1.2 month","92.86%, Past 40 years, 14","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 6.6), 3.12% above",1.2 month,6.49,No Information,No Information,No Information,"78.6% (Price: 7.5813), 12.94% below, Downmove Bounce Back","2026-02-04 (Price: 6.69), 2026-02-04 (Price: 6.31)",No Information,13.97%/3.18%/6.42%,"3.38%, 13.97%",3.1 months/1 month/1.7 month,2026-05-14/2026-02-12/2026-03-14,8.07%,5.5%,2.57%,1.46,-0.19,5.9699/5.9891/6.17/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
TRENDPULSE,"ORCL, Short, 2026-01-21 (Price: 173.88)",2026-02-04 (Price: 146.67) (Today),"15.65%, 14 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-01-21",Already confirmed,"2026-02-04 (Price: 146.67), 15.65% below",14 days,179.68,No Information,No Information,No Information,No Information,No Information,23.25% below/15.65% below/15.65% below,9.31%/3.55%/5.63%,"12.19%, 12.03%",20 days/7 days/11 days,2026-02-18/2026-01-31/2026-02-05,8.19%,5.2%,2.99%,0.56,0.75,159.674/164.0906/155.23/82.7925/167.1709/152.3597/No EMA 200 Target,No support/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No support,No Data (Across ALL Assets),71.43%/7/10 days (Across ALL Assets)
OSCILLATOR DELTA,"ABNB, Short, 2026-01-20 (Price: 130.73)",2026-02-04 (Price: 124.61) (Today),"4.68%, 15 days","100.0%, Past 5 years, 5","Daily, is Confirmed on 2026-01-20",No Cancellation Possible,"2026-02-04 (Price: 124.61), 4.68% below",15 days,127.83,No Information,No Information,No Information,No Information,No Information,No Information,5.92%/0.19%/4.45%,"0.0%, 16.73%",27 days/5 days/15 days,2026-02-28/2026-01-27/2026-02-10,23.5%,5.1%,18.4%,1.94,0.05,117.0949/124.9125/121.0/99.795/No F-Stack Support/No F-Stack Support/128.39,No Recent Maxima/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
DELTADRIFT,"EURUSD=X, Short, 2026-01-30 (Price: 1.1966)",2026-02-02 (Price: 1.1849),"0.98%, 3 days","100.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 1.1816), 1.25% below",5 days,1.1968,No Information,No Information,No Information,No Information,No Information,No Information,1.74%/0.53%/0.94%,"0%, 3.62%",27 days/3 days/12 days,2026-03-10/2026-02-03/2026-02-16,5.83%,3.82%,2.01%,2.08,-0.64,1.1741/1.1854/1.18/1.0208/No F-Stack Support/No F-Stack Support/1.16,No support/1.0208/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,73.64%/34/7 days (Across ALL Assets),71.84%/103/7 days (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",2026-01-31 (Price: 716.5),"-10.58%, 2.1 months","100.0%, Past 13 years, 4","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-04 (Price: 668.99), 3.25% above",2.2 months,656.0,No Information,No Information,No Information,"23.66% (Price: 628.6993), 6.41% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,2026-04-13/2026-01-09/2026-02-11,10.6%,5.4%,5.2%,0.76,0.8,559.6344/554.6452/223.05/280.19/556.264/2054.9119/No EMA 200 Target,No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
DELTADRIFT,"EEM, Short, 2026-01-29 (Price: 60.44)",2026-01-30 (Price: 59.1),"2.22%, 1 day","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-04 (Price: 58.8), 2.71% below",6 days,60.86,No Information,No Information,No Information,No Information,No Information,No Information,1.59%/0.6%/1.14%,"2.94%, 2.47%",13 days/1 day/7 days,2026-02-16/2026-01-30/2026-02-08,4.14%,3.82%,0.32%,0.15,-0.07,57.7988/59.751/58.77/37.485/No F-Stack Support/No F-Stack Support/51.33,No support/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,73.64%/34/7 days (Across ALL Assets),71.84%/103/7 days (Across ALL Assets)
TRENDPULSE,"PFE, Short, 2024-03-31 (Price: 27.75)",2025-12-31 (Price: 24.9),"10.27%, 1.8 year","100.0%, Past 49 years, 5","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-02-04 (Price: 26.78), 3.5% below",1.9 year,28.88,No Information,No Information,No Information,No Information,No Information,6.98% below/3.5% below/3.5% below,28.35%/7.35%/17.85%,"0.0%, 34.93%",1.7 year/1.3 year/1.5 year,2026-09-03/2026-02-06/2026-05-22,5.58%,5.5%,0.08%,0.53,0.21,25.863/22.7966/18.85/26.1058/21.508/20.5265/No EMA 200 Target,No support/26.1058/21.508/20.5265/No F-Track Level/No F-Track Level/No support,100.0%/1/1.2 year (Across ALL Assets),No Data (Across ALL Assets)
