Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
TRENDPULSE,"SFTBY, Long, 2025-07-31 (Price: 38.15)",2025-12-19 (Price: 55.26) (Today),"44.85%, 4.7 months","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-19 (Price: 55.26), 44.85% above",4.7 months,No Information,No Information,No Information,No Information,No Information,51.69% above/47.36% above/44.85% above,36.66%/36.66%/36.66%,"-0.0%, 64.04%",1 year/1 year/1 year,2027-01-03/2027-01-03/2027-01-03,12.92%,8.11%,4.81%,0.88,0.41,36.8529/52.1358/42.72/No Horizontal Resistance/48.3837/56.3971/No EMA 200 Target,25.22/16.82/32.5245/28.6536/No F-Track Level/No F-Track Level/29.37,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"BAC, Long, 2025-07-31 (Price: 47.27)",2025-12-19 (Price: 55.27) (Today),"16.92%, 4.7 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-19 (Price: 55.27), 16.92% above",4.7 months,No Information,No Information,No Information,No Information,No Information,25.24% above/15.24% above/16.92% above,30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-06-08/2026-03-05/2026-08-26,4.68%,2.37%,2.31%,0.29,0.18,55.0601/55.8495/52.62/48.715/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.14,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"EEM, Long, 2025-07-31 (Price: 48.56)",2025-12-19 (Price: 53.72) (Today),"10.63%, 4.7 months","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-19 (Price: 53.72), 10.63% above",4.7 months,No Information,No Information,No Information,No Information,No Information,18.01% above/10.63% above/10.63% above,23.15%/1.8%/11.72%,"17.13%, 38.01%",1.6 year/4 months/9.6 months,2027-11-12/2026-01-20/2026-09-21,1.85%,4.85%,-3.0%,0.23,0.23,56.1111/54.2512/51.72/51.3833/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,36.7/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.66,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"BDGI.TO, Long, 2025-07-31 (Price: 52.29)",2025-12-19 (Price: 73.8) (Today),"41.14%, 4.7 months","95.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-19 (Price: 73.8), 41.14% above",4.7 months,No Information,No Information,No Information,No Information,No Information,65.43% above/51.79% above/41.14% above,69.93%/3.87%/34.79%,"37.81%, 54.03%",11.2 months/5 months/6 months,2026-11-29/2026-03-05/2026-04-17,16.29%,14.03%,2.26%,1.02,0.66,103.4139/70.4817/64.4/No Horizontal Resistance/50.7492/58.5532/No EMA 200 Target,35.88/24.32/46.0323/42.8299/No F-Track Level/No F-Track Level/41.26,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
FRACTAL TRACK,"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-19 (Price: 80.36) (Today),"-0.36%, 5.7 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 80.36), 0.36% below",5.7 months,No Information,No Information,No Information,"38.2% (Price: 76.5615), 4.96% above, Upmove Bounce Back","2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",No Information,2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.9,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
TRENDPULSE,"BAC, Long, 2025-02-28 (Price: 46.1)",2025-12-19 (Price: 55.27) (Today),"19.89%, 9.8 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-12-19 (Price: 55.27), 19.89% above",9.8 months,No Information,No Information,No Information,No Information,No Information,25.76% above/19.89% above/19.89% above,30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-01-06/2025-10-03/2026-03-26,4.68%,2.37%,2.31%,0.29,0.18,53.6973/54.4672/56.66/48.96/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/22.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/42.38,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"ATM.NZ, Long, 2025-02-28 (Price: 8.84)",2025-12-19 (Price: 10.24) (Today),"15.84%, 9.8 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-12-19 (Price: 10.24), 15.84% above",9.8 months,No Information,No Information,No Information,No Information,No Information,59.01% above/15.84% above/15.84% above,102.13%/45.63%/81.61%,"-0.0%, 48.4%",2.1 years/10.1 months/1.6 year,2028-02-28/2026-05-12/2027-06-12,19.84%,13.35%,6.49%,1.36,0.6,12.1833/16.0543/13.32/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,4.15/5.185/8.6495/8.0201/No F-Track Level/No F-Track Level/6.78,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
FRACTAL TRACK,"RHHBY, Long, 2025-02-28 (Price: 41.74)",2025-12-19 (Price: 51.2) (Today),"22.66%, 9.8 months","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-02-28",Already confirmed,"2025-12-19 (Price: 51.2), 22.66% above",9.8 months,No Information,No Information,No Information,"61.8% (Price: 34.2539), 49.47% above, Upmove Bounce Back","2024-05-31 (Price: 29.2), 2024-08-31 (Price: 42.43)",No Information,29.63%/5.85%/20.48%,"5.23%, 30.29%",6 years/1 year/3.2 years,2033-09-22/2026-08-03/2029-09-23,5.03%,5.2%,-0.17%,0.93,0.26,46.0559/50.2884/49.68/52.46/58.6089/65.2057/41.95,29.82/34.4/41.5794/31.0544/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
TRENDPULSE,"MSE.PA, Long, 2025-01-31 (Price: 57.37)",2025-12-19 (Price: 64.22) (Today),"11.94%, 10.7 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-01-31",Already confirmed,"2025-12-19 (Price: 64.22), 11.94% above",10.7 months,No Information,No Information,No Information,No Information,No Information,20.42% above/18.77% above/11.94% above,11.99%/4.9%/8.12%,"-0.0%, 28.4%",1.7 year/5 months/11.9 months,2027-07-06/2025-09-05/2026-07-02,5.39%,1.99%,3.4%,0.77,-0.0,58.7354/62.0284/73.34/No Horizontal Resistance/58.4776/81.1364/No EMA 200 Target,52.08/33.57/44.4738/35.8188/No F-Track Level/No F-Track Level/53.19,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"SUM.NZ, Long, 2024-11-24 (Price: 13.1)",2025-12-19 (Price: 11.87) (Today),"-9.39%, 1.1 year","90.91%, Past 10 years, 11","Weekly, is CONFIRMED on 2024-11-22",Already confirmed,"2025-12-19 (Price: 11.87), 9.39% below",1.1 year,No Information,No Information,No Information,No Information,No Information,5.42% below/9.39% below/9.39% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,2025-02-14/2025-01-03/2025-01-23,-0.02%,11.46%,-11.48%,0.54,0.63,14.4689/13.9554/14.24/No Horizontal Resistance/19.8479/26.5969/No EMA 200 Target,9.4/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.11,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"CNQ.TO, Long, 2024-10-13 (Price: 51.71)",2025-12-19 (Price: 43.99) (Today),"-14.93%, 1.2 year","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2024-10-11",Already confirmed,"2025-12-19 (Price: 43.99), 14.93% below",1.2 year,No Information,No Information,No Information,No Information,No Information,8.77% below/14.93% below/14.93% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2025-03-14/2024-11-22/2024-12-30,2.78%,3.8%,-1.02%,0.61,0.23,52.7907/55.3711/51.74/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,43.4/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/48.05,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",2025-12-19 (Price: 9.31) (Today),"6.77%, 1.2 year","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-12-19 (Price: 9.31), 6.77% above",1.2 year,No Information,No Information,No Information,No Information,No Information,9.02% above/6.77% above/6.77% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11.1 months/5.1 months/8.1 months,2026-01-25/2025-05-09/2025-09-16,14.78%,5.28%,9.5%,1.0,0.27,9.6243/10.3489/8.91/8.822/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"IEI, Long, 2024-08-31 (Price: 118.72)",2025-12-19 (Price: 119.34) (Today),"0.52%, 1.3 year","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2024-08-31",Already confirmed,"2025-12-19 (Price: 119.34), 0.52% above",1.3 year,No Information,No Information,No Information,No Information,No Information,1.42% above/0.52% above/0.52% above,1.93%/1.13%/1.45%,"15.13%, 15.6%",11.2 months/6.1 months/8.1 months,2025-12-30/2025-05-23/2025-08-17,1.43%,0.7%,0.73%,-0.36,-0.87,121.7355/120.4414/124.14/133.2183/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,112.29/112.768/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/115.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"AAPL, Long, 2024-07-31 (Price: 222.08)",2025-12-19 (Price: 273.67) (Today),"23.23%, 1.4 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-07-31",Already confirmed,"2025-12-19 (Price: 273.67), 23.23% above",1.4 year,No Information,No Information,No Information,No Information,No Information,29.94% above/23.23% above/23.23% above,49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-02-24/2025-03-09/2025-10-30,17.77%,21.49%,-3.72%,2.41,1.03,323.0598/270.2047/323.37/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/189.12,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"CNQ.TO, Long, 2024-04-07 (Price: 55.16)",2025-12-19 (Price: 43.99) (Today),"-20.25%, 1.7 year","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2024-04-05",Already confirmed,"2025-12-19 (Price: 43.99), 20.25% below",1.7 year,No Information,No Information,No Information,No Information,No Information,12.71% below/20.25% below/20.25% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2024-09-06/2024-05-17/2024-06-24,2.78%,3.8%,-1.02%,0.61,0.23,56.3128/59.0653/64.58/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,40.81/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/43.33,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"^BVSP, Long, 2023-12-31 (Price: 134185.0)",2025-12-19 (Price: 158473.0156) (Today),"18.1%, 2 years","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2023-12-31",Already confirmed,"2025-12-19 (Price: 158473.0156), 18.1% above",2 years,No Information,No Information,No Information,No Information,No Information,24.46% above/18.1% above/18.1% above,14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2028-09-15/2024-12-16/2026-09-16,6.15%,6.78%,-0.63%,0.48,0.36,148462.284/146865.4825/161963.8/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,101882.0/90496.5/121313.6/110617.73/No F-Track Level/No F-Track Level/115493.12,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"GILD, Long, 2022-12-31 (Price: 85.85)",2025-12-19 (Price: 124.29) (Today),"44.78%, 3 years","100.0%, Past 33 years, 7","Quarterly, is CONFIRMED on 2022-12-31",Already confirmed,"2025-12-19 (Price: 124.29), 44.78% above",3 years,No Information,No Information,No Information,No Information,No Information,101.48% above/45.78% above/44.78% above,48.53%/11.57%/42.07%,"-0.0%, 24.28%",3 years/1.5 year/2.3 years,2027-04-13/2025-02-20/2026-04-11,9.69%,12.1%,-2.41%,1.59,0.53,107.2181/121.9671/90.9/No Horizontal Resistance/123.4541/140.4376/No EMA 200 Target,58.26/56.99/75.3922/65.1312/No F-Track Level/No F-Track Level/67.59,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),
FRACTAL TRACK,"AAPL, Long, 2025-12-19 (Price: 273.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-19 (Price: 273.67), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 169.2862), 61.66% above, Upmove Bounce Back","2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",No Information,37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-05-24/2027-01-18/2027-03-24,12.11%,12.37%,-0.26%,1.91,0.56,392.7438/371.2334/416.31/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/229.91,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets),
FRACTAL TRACK,"HDB, Long, 2025-12-19 (Price: 35.89)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-19 (Price: 35.89), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 34.562), 3.84% above, Upmove Bounce Back","2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",No Information,26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-04/2026-06-13/2027-12-17,8.78%,11.88%,-3.1%,0.83,0.59,41.6216/44.4211/44.12/39.3812/45.6752/50.9526/35.95,26.75/25.6925/29.7659/26.539/No support/34.266/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
FRACTAL TRACK,"TCS.NS, Long, 2025-12-19 (Price: 3282.0)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-19 (Price: 3282.0), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 2809.1), 16.83% above, Upmove Bounce Back","2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",No Information,26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-10-27/2026-04-28/2026-12-14,7.28%,13.73%,-6.45%,0.82,0.62,3416.562/3928.8822/5421.78/4543.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/3253.95,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-19 (Price: 37.1)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-19 (Price: 37.1), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 34.9549), 6.14% above, Upmove Bounce Back","2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-07/2026-06-10/2030-09-04,4.68%,9.29%,-4.61%,0.75,0.49,46.2414/45.006/48.63/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.3,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-19 (Price: 11.87)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-19 (Price: 11.87), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 10.74), 10.52% above, Upmove Bounce Back","2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",No Information,48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-10-27/2027-05-24/2027-07-15,11.55%,11.73%,-0.18%,0.86,0.59,12.1857/17.2044/15.11/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/No support/11.3772/11.41,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets),
TRENDPULSE,"SOXX, Long, 2025-12-19 (Price: 299.81)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-19 (Price: 299.81), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/10.7% above/0.0% below,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-04/2027-10-27/2028-09-04,16.0%,8.74%,7.26%,0.66,0.45,400.0665/442.9693/461.28/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/241.99,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),
TRENDPULSE,"FBU.NZ, Long, 2025-12-19 (Price: 3.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-19 (Price: 3.6), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,10.43% above/7.46% above/0.0% below,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-10/2026-07-24/2026-08-06,5.5%,0.69%,4.81%,1.23,0.0,4.2062/4.3517/5.8/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.21,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"MFT.NZ, Long, 2025-12-19 (Price: 68.26)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-19 (Price: 68.26), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-14/2026-07-24/2026-12-23,9.96%,11.66%,-1.7%,0.82,0.67,105.8303/77.3249/69.0/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"BDGI.TO, Long, 2025-12-19 (Price: 73.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-19 (Price: 73.8), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,20.23% above/0.0% below/0.0% below,227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-14/2027-10-27/2028-04-01,16.49%,8.5%,7.99%,0.7,0.42,152.2273/191.0165/99.08/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/54.42,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),
FRACTAL TRACK,"UBER, Short, 2025-12-19 (Price: 79.31)",No Exit Yet,"-0.0%, 0 days","90.0%, Past 6 years, 10","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 79.31), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 82.5663), 3.94% below, Upmove Break Below","2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",No Information,11.18%/4.08%/7.12%,"16.62%, 11.18%",21 days/7 days/11 days,2026-01-18/2025-12-29/2026-01-03,12.48%,5.2%,7.28%,0.51,0.43,78.961/73.6631/30.05/34.6025/71.0872/363.4563/No EMA 200 Target,No support/34.6025/71.0872/No support/70.6297/60.9425/No support,100.0%/1/0 days (Across ALL Assets),43.75%/16/0 days (Across ALL Assets),
FRACTAL TRACK,"NFLX, Short, 2025-12-19 (Price: 94.39)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 6","Quarterly, is CONFIRMED on 2025-12-19",No Cancellation Possible,"2025-12-19 (Price: 94.39), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 106.2331), 11.15% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,2026-05-02/2026-04-28/2026-04-28,11.77%,5.5%,6.27%,1.3,0.88,185.3631/66.5638/23.68/34.8663/77.3488/70.5306/No EMA 200 Target,No support/34.8663/77.3488/70.5306/89.0986/75.193/No support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets),
FRACTAL TRACK,"SFTBY, Short, 2025-12-19 (Price: 55.26)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-12-19 (Price: 55.26), 0.0% below",0 days,No Information,No Information,No Information,"50.0% (Price: 53.39), 3.5% above, Upmove Break Below","2022-06-30 (Price: 16.78), 2025-12-19 (Price: 90.0)",No Information,18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-02/2026-05-02/2026-05-02,12.53%,5.4%,7.13%,1.47,0.38,49.6511/45.6392/11.33/16.82/48.0625/43.9946/44.97,No support/16.82/48.0625/43.9946/53.39/44.75/No EMA 200 Support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets),
TRENDPULSE,"NVO, Short, 2025-11-30 (Price: 49.35)",No Exit Yet,"2.55%, 19 days","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 48.09), 2.55% below",19 days,No Information,No Information,No Information,No Information,No Information,2.77% below/6.94% above/2.55% below,15.1%/15.1%/15.1%,"0.0%, 34.17%",5 months/5 months/5 months,2026-07-05/2026-07-05/2026-07-05,3.32%,5.5%,-2.18%,0.43,0.53,48.6147/41.8982/46.91/45.4025/45.3824/37.3162/No EMA 200 Target,No support/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level/No support,100.0%/1/0 days (Across ALL Assets),0.0%/7/0 days (Across ALL Assets),
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",No Exit Yet,"-1.67%, 19 days","100.0%, Past 13 years, 4","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 658.77), 1.67% above",19 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 4.78% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,2026-04-13/2026-01-09/2026-02-11,10.6%,5.4%,5.2%,0.76,0.8,559.6344/554.6452/223.05/280.19/556.264/2054.9119/No EMA 200 Target,No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),
FRACTAL TRACK,"KWEB, Short, 2025-11-30 (Price: 37.57)",No Exit Yet,"2.85%, 19 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 36.5), 2.85% below",19 days,No Information,No Information,No Information,"23.66% (Price: 37.1791), 1.83% below, Upmove Break Below","2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-04-13/2026-01-12/2026-02-07,5.83%,5.4%,0.43%,0.25,0.12,34.3991/34.8913/21.88/24.5062/No F-Stack Support/No F-Stack Support/36.45,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),
