"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TSLA, Long, 2025-05-31 (Price: 346.46)",2026-01-31 (Price: 430.41),"24.23%, 8.2 months","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-02-04 (Price: 406.01), 17.19% above",8.3 months,"6, 2021-11-30 (Price: 381.5867)",2025-04-30 (Price: 282.16),2025-05-31 (Price: 346.46),280/249/249 days,43.89% above/17.19% above/17.19% above,2021-11-30 (Price: 408.2466)/2025-05-31 (Price: 214.4383),7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,2028-02-15 (Max),26.29%,28.82%,-2.53%,0.27,1.04,864.2098/373.4492/367.54/408.5817/413.6779/490.132/No EMA 200 Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),280.01
"DOL.TO, Long, 2025-05-31 (Price: 176.5)",2026-02-04 (Price: 195.31) (Today),"10.66%, 8.3 months","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-02-04 (Price: 195.31), 10.66% above",8.3 months,"2, 2022-11-30 (Price: 82.33)",2025-05-31 (Price: 176.5),2025-05-31 (Price: 176.5),249/249/249 days,10.66% above/10.66% above/10.66% above,2022-11-30 (Price: 82.963)/2025-05-31 (Price: 170.4717),24.69%/6.61%/16.58%,"-0.0%, 12.12%",1 year/5 months/9.4 months,2026-11-03/2026-01-03/2026-07-13,9.06%,19.7%,-10.64%,1.65,1.31,210.9352/205.7637/233.0/No Horizontal Resistance/194.1559/294.0831/No EMA 200 Target,39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),170.49
"MSE.PA, Long, 2025-02-28 (Price: 59.36)",2026-01-31 (Price: 66.41),"11.88%, 11.2 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-02-04 (Price: 66.72), 12.4% above",11.4 months,"0, 2020-02-29 (Price: 32.4)",2025-02-28 (Price: 59.36),2025-02-28 (Price: 59.36),341/341/341 days,12.4% above/12.4% above/12.4% above,2020-02-29 (Price: 36.9416)/2025-02-28 (Price: 56.3799),11.99%/4.9%/8.12%,"-0.0%, 28.4%",1.7 year/5 months/11.9 months,2027-08-03/2025-10-03/2026-07-30,5.39%,1.99%,3.4%,0.77,-0.0,60.7728/64.18/75.54/No Horizontal Resistance/58.4776/81.1364/No EMA 200 Target,52.08/33.57/44.4738/35.8188/No F-Track Level/No F-Track Level/53.71,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),56.21
"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-31 (Price: 259.48),"11.36%, 1.4 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-02-04 (Price: 276.49), 18.67% above",1.4 year,"2, 2022-07-31 (Price: 162.51)",2024-09-30 (Price: 233.0),2024-09-30 (Price: 233.0),492/492/492 days,18.67% above/18.67% above/18.67% above,2022-07-31 (Price: 175.7774)/2024-09-30 (Price: 216.2229),49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,338.9451/283.4911/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),228.55
"PPH, Long, 2024-03-31 (Price: 90.7)",2026-02-04 (Price: 108.63) (Today),"19.77%, 1.9 year","85.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-02-04 (Price: 108.63), 19.77% above",1.9 year,"0, 2019-03-31 (Price: 60.72)",2024-01-31 (Price: 85.3),2024-03-28 (Price: 90.7),735/678/675 days,27.35% above/19.77% above/19.77% above,2019-03-31 (Price: 86.3975)/2024-03-31 (Price: 82.9475),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2030-07-12/2024-11-03/2026-02-06,1.56%,1.67%,-0.11%,1.06,-0.07,100.8131/99.4616/108.69/No Horizontal Resistance/96.895/110.4008/No EMA 200 Target,75.31/54.71/87.7591/80.4653/No F-Track Level/No F-Track Level/81.89,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),89.33
"AMD, Long, 2024-02-29 (Price: 192.53)",2026-02-04 (Price: 200.19) (Today),"3.98%, 2 years","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-02-04 (Price: 200.19), 3.98% above",2 years,"2, 2021-10-31 (Price: 120.23)",2023-12-31 (Price: 147.41),2024-02-29 (Price: 192.53),766/706/706 days,35.8% above/3.98% above/3.98% above,2021-10-31 (Price: 166.1247)/2024-02-29 (Price: 119.5121),190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2027-09-24/2024-10-07/2025-04-21,26.16%,7.99%,18.17%,1.24,0.48,373.5275/432.2106/235.91/No Horizontal Resistance/170.075/187.3421/No EMA 200 Target,60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),169.27
"AMD, Long, 2024-01-31 (Price: 167.69)",2026-02-04 (Price: 200.19) (Today),"19.38%, 2 years","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-04 (Price: 200.19), 19.38% above",2 years,"2, 2021-11-30 (Price: 158.37)",2023-12-31 (Price: 147.41),2024-01-31 (Price: 167.69),766/735/735 days,35.8% above/19.38% above/19.38% above,2021-11-30 (Price: 164.46)/2024-01-31 (Price: 121.1768),190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2027-08-26/2024-09-08/2025-03-23,26.16%,7.99%,18.17%,1.24,0.48,325.3354/376.4473/173.28/No Horizontal Resistance/170.075/187.3421/No EMA 200 Target,60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),144.28
"ASML, Long, 2024-01-31 (Price: 869.82)",2026-01-31 (Price: 1423.0),"63.6%, 2 years","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-04 (Price: 1339.13), 53.95% above",2 years,"0, 2019-01-31 (Price: 175.03)",2024-01-31 (Price: 869.82),2024-01-31 (Price: 869.82),735/735/735 days,53.95% above/53.95% above/53.95% above,2019-01-31 (Price: 1076.2209)/2024-01-31 (Price: 738.1755),42.83%/5.07%/18.51%,"28.83%, 59.07%",1.4 year/5.1 months/1 year,2026-01-28/2024-09-08/2025-07-05,8.92%,10.16%,-1.24%,0.75,0.49,1035.4337/1030.8237/1286.69/888.525/1034.6774/1091.1724/No EMA 200 Target,588.66/188.78/832.8601/749.8177/No F-Track Level/No F-Track Level/678.52,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),730.0
"GNE.NZ, Long, 2024-01-31 (Price: 2.53)",2026-02-04 (Price: 2.45) (Today),"-3.16%, 2 years","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-04 (Price: 2.45), 3.16% below",2 years,"4, 2021-01-31 (Price: 3.92)",2023-12-31 (Price: 2.505),2024-01-31 (Price: 2.53),766/735/735 days,2.2% below/3.16% below/3.16% below,2021-01-31 (Price: 3.9715)/2024-01-31 (Price: 2.4024),8.39%/8.39%/8.39%,"-0.0%, 27.52%",2 years/2 years/2 years,2026-12-08 (Max),6.77%,1.89%,4.88%,0.7,-0.01,2.3992/2.7423/3.36/3.5833/4.0602/4.3831/2.56,2.31/No Horizontal Support/2.377/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),2.5
"GILD, Long, 2022-12-31 (Price: 85.85)",2025-12-31 (Price: 122.74),"42.97%, 3 years","100.0%, Past 34 years, 7","Quarterly, is CONFIRMED on 2022-12-31",Already confirmed,"2026-02-04 (Price: 146.23), 70.33% above",3.1 years,"4, 2014-12-31 (Price: 94.26)",2022-09-30 (Price: 61.69),2022-12-31 (Price: 85.85),1223/1131/1131 days,137.04% above/70.33% above/70.33% above,2014-12-31 (Price: 124.0506)/2022-12-31 (Price: 58.9201),48.53%/11.57%/42.07%,"-0.0%, 24.28%",3 years/1.5 year/2.3 years,2027-04-13/2025-02-20/2026-04-11,9.69%,12.1%,-2.41%,1.59,0.53,107.2181/121.9671/90.9/No Horizontal Resistance/123.4541/140.4376/No EMA 200 Target,58.26/56.99/75.3922/65.1312/No F-Track Level/No F-Track Level/67.59,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),62.4
"GNE.NZ, Long, 2020-12-31 (Price: 3.625)",2026-02-04 (Price: 2.45) (Today),"-32.41%, 5.2 years","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2020-12-31",Already confirmed,"2026-02-04 (Price: 2.45), 32.41% below",5.2 years,"2, 2019-12-31 (Price: 3.025)",2020-11-30 (Price: 3.23),2020-12-31 (Price: 3.625),1892/1861/1861 days,24.15% below/32.41% below/32.41% below,2019-12-31 (Price: 3.311)/2020-12-31 (Price: 3.179),8.39%/8.39%/8.39%,"-0.0%, 27.52%",2 years/2 years/2 years,2023-11-08 (Max),6.77%,1.89%,4.88%,0.7,-0.01,3.4376/3.9291/3.98/No Horizontal Resistance/3.8791/4.0602/No EMA 200 Target,2.52/2.0/3.362/3.1461/No F-Track Level/No F-Track Level/3.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),3.24
"TRI.TO, Short, 2026-02-04 (Price: 127.87)",No Exit Yet,"-0.0%, 0 days","88.24%, Past 10 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price > 0.0 prior to 2026-02-06,"2026-02-04 (Price: 127.87), 0.0% below",0 days,"2, 2025-07-27 (Price: 278.86)",2026-02-04 (Price: 127.87),2026-02-04 (Price: 127.87),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-07-27 (Price: 241.6116)/2026-02-04 (Price: 152.8065),16.0%/1.62%/4.88%,"15.2%, 17.31%",5.8 months/1.6 month/2.7 months,2026-10-14/2026-04-14/2026-06-01,0.57%,5.4%,-4.83%,0.32,0.43,124.085/121.6299/37.28/126.1128/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/126.1128/No F-Stack Support/No F-Stack Support/No support/No support/No support,No Data (Across ALL Assets),28.57%/7/29 days (Across ALL Assets),150.71
"ORCL, Short, 2026-01-21 (Price: 173.88)",2026-02-04 (Price: 146.67) (Today),"15.65%, 14 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-01-21",Already confirmed,"2026-02-04 (Price: 146.67), 15.65% below",14 days,"2, 2025-11-26 (Price: 204.96)",2026-01-16 (Price: 191.09),2026-01-21 (Price: 173.88),19/14/14 days,23.25% below/15.65% below/15.65% below,2025-11-26 (Price: 167.99)/2026-01-21 (Price: 191.3386),9.31%/3.55%/5.63%,"12.19%, 12.03%",20 days/7 days/11 days,2026-02-18/2026-01-31/2026-02-05,8.19%,5.2%,2.99%,0.56,0.75,159.674/164.0906/155.23/82.7925/167.1709/152.3597/No EMA 200 Target,No support/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No support,No Data (Across ALL Assets),71.43%/7/10 days (Across ALL Assets),179.68
"USCI, Short, 2025-11-09 (Price: 78.02)",2026-01-25 (Price: 84.23),"-7.96%, 2.6 months","92.31%, Past 10 years, 13","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2026-02-04 (Price: 82.5), 5.74% above",2.9 months,"2, 2025-03-30 (Price: 71.59)",2025-10-26 (Price: 78.65),2025-11-09 (Price: 78.02),101/87/87 days,4.9% above/5.74% above/5.74% above,2025-03-30 (Price: 63.2612)/2025-11-09 (Price: 79.2424),20.34%/0.9%/7.17%,"7.79%, 24.44%",1.9 month/28 days/1.2 month,2026-01-30/2025-12-19/2025-12-31,8.02%,5.4%,2.62%,0.59,-0.14,72.8941/72.426/74.16/38.14/75.2881/67.5442/73.22,No support/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),28.57%/7/29 days (Across ALL Assets),78.54
"PFE, Short, 2024-03-31 (Price: 27.75)",2025-12-31 (Price: 24.9),"10.27%, 1.8 year","100.0%, Past 49 years, 5","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-02-04 (Price: 26.78), 3.5% below",1.9 year,"6, 2009-03-31 (Price: 12.9222)",2023-12-31 (Price: 28.79),2024-03-31 (Price: 27.75),766/675/675 days,6.98% below/3.5% below/3.5% below,2009-03-31 (Price: 11.0247)/2024-03-31 (Price: 32.0614),28.35%/7.35%/17.85%,"0.0%, 34.93%",1.7 year/1.3 year/1.5 year,2026-09-03/2026-02-06/2026-05-22,5.58%,5.5%,0.08%,0.53,0.21,25.863/22.7966/18.85/26.1058/21.508/20.5265/No EMA 200 Target,No support/26.1058/21.508/20.5265/No F-Track Level/No F-Track Level/No support,100.0%/1/1.2 year (Across ALL Assets),No Data (Across ALL Assets),28.88
