Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
TRENDPULSE,"BABA, Long, 2026-01-13 (Price: 167.01)",2026-01-27 (Price: 174.88) (Today),"4.71%, 14 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-29 (Price: 174.2500), 4.34% above",14 days,No Information,No Information,No Information,No Information,No Information,15.85% above/4.71% above/4.71% above,13.07%/3.26%/7.2%,,2.5 months/6 days/1.2 month,2026-05-01/2026-01-21/2026-03-06,-7.81%,-3.01%,-4.8%,-0.14,0.07,,146.58/67.495/144.416/No support/No F-Track Level/No F-Track Level/138.31,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),exit,165.5
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 189.88) (Today),"-6.04%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 185.2700), 8.32% below",15 days,No Information,No Information,No Information,"23.66% (Price: 201.5134), 5.77% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,,8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.11,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),exit,199.44
TRENDPULSE,"MTY.TO, Long, 2026-01-07 (Price: 40.04)",2026-01-26 (Price: 42.91),"7.17%, 19 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-29 (Price: 41.9100), 4.67% above",20 days,No Information,No Information,No Information,No Information,No Information,5.77% above/5.74% above/5.74% above,7.25%/0.53%/3.58%,,2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),exit,39.7
TRENDPULSE,"NVO, Long, 2026-01-04 (Price: 52.39)",2026-01-27 (Price: 62.715) (Today),"19.71%, 23 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-29 (Price: 59.3300), 13.25% above",23 days,No Information,No Information,No Information,No Information,No Information,19.69% above/19.71% above/19.71% above,20.26%/3.25%/8.42%,,4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,51.56
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",2026-01-27 (Price: 923.68) (Today),"1.83%, 1 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-29 (Price: 940.1200), 3.65% above",1 month,No Information,No Information,No Information,No Information,No Information,4.02% above/1.83% above/1.83% above,16.64%/3.18%/8.74%,,1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,896.52
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",2026-01-25 (Price: 150.15),"3.94%, 1.2 month","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-29 (Price: 149.9000), 3.77% above",1.2 month,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,,6.8 months/7 days/1.9 month,2026-10-12/2025-12-31/2026-03-13,6.41%,4.09%,2.32%,2.17,0.17,,142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),exit,143.27
BAND MATRIX,"CVS, Long, 2025-12-05 (Price: 75.63)",2026-01-27 (Price: 74.405) (Today),"-1.62%, 1.8 month","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-05",No Cancellation Possible,"2026-01-29 (Price: 74.4400), 1.57% below",1.8 month,No Information,No Information,No Information,No Information,No Information,No Information,23.31%/1.13%/12.66%,,6.4 months/1.2 month/3.4 months,2026-09-09/2026-01-26/2026-05-01,13.84%,1.55%,12.29%,0.46,0.07,,75.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/71.98,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),exit,76.73
TRENDPULSE,"^BVSP, Long, 2025-11-16 (Price: 157739.0)",2026-01-25 (Price: 178859.0),"13.39%, 2.3 months","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2026-01-29 (Price: 183133.7500), 16.10% above",2.4 months,No Information,No Information,No Information,No Information,No Information,18.8% above/16.04% above/16.04% above,10.65%/0.93%/5.61%,,1.1 year/28 days/3.4 months,2027-06-12/2025-12-26/2026-04-12,7.52%,4.03%,3.49%,2.1,0.18,,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,154061.0
FRACTAL TRACK,"MAR, Long, 2025-11-16 (Price: 285.72)",2026-01-27 (Price: 314.17) (Today),"9.96%, 2.4 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-01-29 (Price: 319.7700), 11.92% above",2.4 months,No Information,No Information,No Information,"50% (Price: 256.035), 22.71% above, Upmove Bounce Back","2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",No Information,23.39%/8.05%/16.44%,,3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/274.42,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),exit,292.12
FRACTAL TRACK,"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-27 (Price: 1458.765) (Today),"37.72%, 2.9 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-29 (Price: 1455.1600), 37.38% above",2.9 months,No Information,No Information,No Information,"38.2% (Price: 692.3064), 110.71% above, Upmove Bounce Back","2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",No Information,30.95%/20.8%/23.81%,,2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/896.4,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),exit,965.61
TRENDPULSE,"XLE, Long, 2025-10-26 (Price: 44.035)",2026-01-25 (Price: 49.19),"11.71%, 3 months","72.22%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-29 (Price: 50.5100), 14.70% above",3.1 months,No Information,No Information,No Information,No Information,No Information,14.78% above/12.06% above/12.06% above,16.62%/0.85%/7.33%,,7.9 months/28 days/2.5 months,2026-10-04/2025-12-05/2026-02-11,4.71%,1.43%,3.28%,-0.1,0.05,,42.61/22.8475/37.0707/26.9521/No F-Track Level/No F-Track Level/43.51,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,43.065
TRENDPULSE,"TSM, Long, 2025-10-05 (Price: 292.19)",2026-01-25 (Price: 334.87),"14.61%, 3.7 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2026-01-29 (Price: 339.5500), 16.21% above",3.8 months,No Information,No Information,No Information,No Information,No Information,27.91% above/15.95% above/15.95% above,24.83%/4.38%/11.82%,,8.9 months/28 days/3.4 months,2026-10-26/2025-11-14/2026-03-01,13.85%,15.73%,-1.88%,1.66,0.83,,146.8/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/209.36,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,276.49
TRENDPULSE,"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-27 (Price: 48.24) (Today),"12.82%, 5 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-30 (Price: 46.9000), 9.68% above",5 months,No Information,No Information,No Information,No Information,No Information,12.82% above/12.82% above/12.82% above,12.69%/8.05%/10.4%,,1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),exit,40.71
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-27 (Price: 631.37) (Today),"10.69%, 5 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-29 (Price: 629.4300), 10.35% above",5 months,No Information,No Information,No Information,No Information,No Information,10.69% above/10.69% above/10.69% above,16.45%/5.89%/12.27%,,10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),exit,558.83
TRENDPULSE,"VGT, Long, 2025-08-31 (Price: 697.02)",2026-01-27 (Price: 770.6931) (Today),"10.57%, 5 months","100.0%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-29 (Price: 760.8000), 9.15% above",5 months,No Information,No Information,No Information,No Information,No Information,10.57% above/10.57% above/10.57% above,27.2%/4.39%/15.02%,,1.4 year/4.1 months/8 months,2027-08-29/2026-02-23/2026-08-13,6.44%,9.1%,-2.66%,1.52,0.57,,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/618.84,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),exit,683.16
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-27 (Price: 477.81) (Today),"-3.94%, 7 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 433.5000), 12.85% below",7 months,No Information,No Information,No Information,"50% (Price: 340.89), 40.17% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,,14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/484.99,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),exit,457.14
FRACTAL TRACK,"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-27 (Price: 263.425) (Today),"22.07%, 7 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 263.3700), 22.05% above",7 months,No Information,No Information,No Information,"88.6% (Price: 171.1673), 53.9% above, Upmove Bounce Back","2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",No Information,25.23%/12.67%/20.64%,,1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),exit,205.32
FRACTAL TRACK,"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-27 (Price: 107.9194) (Today),"22.69%, 7 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 105.6500), 20.11% above",7 months,No Information,No Information,No Information,"38.2% (Price: 78.775), 37.0% above, Upmove Bounce Back","2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",No Information,23.88%/20.36%/21.19%,,6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),exit,87.83
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-27 (Price: 43.184) (Today),"9.53%, 10.1 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-01-29 (Price: 43.3300), 9.90% above",10.1 months,No Information,No Information,No Information,"23.66% (Price: 36.9765), 16.79% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,,5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),exit,39.57
TRENDPULSE,"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-27 (Price: 260.17) (Today),"11.66%, 1.3 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-01-29 (Price: 258.2800), 10.85% above",1.3 year,No Information,No Information,No Information,No Information,No Information,11.66% above/11.66% above/11.66% above,49.66%/12.62%/21.67%,,2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),exit,228.55
TRENDPULSE,"ASML, Long, 2024-01-31 (Price: 869.82)",2026-01-27 (Price: 1458.765) (Today),"67.71%, 2 years","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-01-29 (Price: 1455.1600), 67.29% above",2 years,No Information,No Information,No Information,No Information,No Information,67.71% above/67.71% above/67.71% above,42.83%/5.07%/18.51%,,1.4 year/5.1 months/1 year,2026-01-28/2024-09-08/2025-07-05,8.92%,10.16%,-1.24%,0.75,0.49,,588.66/188.78/832.8601/749.8177/No F-Track Level/No F-Track Level/678.52,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),exit,730.0
BAND MATRIX,"JPY=X, Long, 2023-12-31 (Price: 141.43)",2026-01-27 (Price: 153.284) (Today),"8.38%, 2.1 years","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2023-12-31",No Cancellation Possible,"2026-01-30 (Price: 153.1510), 8.29% above",2.1 years,No Information,No Information,No Information,No Information,No Information,No Information,4.36%/0.69%/2.53%,,4.3 years/8.9 months/2.5 years,2030-02-19/2025-01-20/2027-07-26,2.69%,2.94%,-0.25%,0.15,0.02,,138.07/103.3558/138.2059/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),exit,142.342
BAND MATRIX,"TCS.NS, Long, 2022-05-22 (Price: 3293.0)",2026-01-25 (Price: 3162.5),"-3.96%, 3.7 years","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2022-05-22",No Cancellation Possible,"2026-01-30 (Price: 3105.6001), 5.69% below",3.7 years,No Information,No Information,No Information,No Information,No Information,No Information,60.23%/7.63%/25.48%,,2.1 years/5.1 months/1 year,2025-05-21/2022-12-29/2023-10-25,11.64%,8.39%,3.25%,0.89,0.46,,3167.45/1228.9625/3006.8346/2637.2425/No F-Track Level/No F-Track Level/3216.36,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),exit,3415.0
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",2026-01-27 (Price: 161.96) (Today),"30.16%, 11.3 months","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,"2026-01-29 (Price: 163.6800), 31.54% above",11.3 months,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,,3.7 years/9.3 months/2 years,2030-06-06/2026-04-03/2028-01-01,11.98%,7.53%,4.45%,1.22,0.44,,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),exit,125.91
OSCILLATOR DELTA,"JETS, Short, 2025-12-24 (Price: 28.54)",2026-01-27 (Price: 27.86) (Today),"2.38%, 1.1 month","100.0%, Past 6 years, 8","Daily, is Confirmed on 2025-12-24",No Cancellation Possible,"2026-01-29 (Price: 28.4200), 0.42% below",1.1 month,No Information,No Information,No Information,No Information,No Information,No Information,12.84%/5.04%/6.62%,,5.5 months/1 day/1.7 month,2026-08-19/2025-12-25/2026-03-07,13.31%,5.2%,8.11%,1.61,0.01,,No Recent Maxima/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.33%/18/0 days (Across ALL Assets),62.86%/35/0 days (Across ALL Assets),exit,28.44
TRENDPULSE,"USCI, Short, 2025-11-09 (Price: 78.02)",2026-01-25 (Price: 84.23),"-7.96%, 2.6 months","92.31%, Past 10 years, 13","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2026-01-29 (Price: 87.5021), 12.15% above",2.6 months,No Information,No Information,No Information,No Information,No Information,9.61% above/10.5% above/10.5% above,20.34%/0.9%/7.17%,"7.79%, 24.44%",1.9 month/28 days/1.2 month,2026-01-30/2025-12-19/2025-12-31,8.02%,5.4%,2.62%,0.59,-0.14,72.8941/72.426/74.16/38.14/75.2881/67.5442/73.22,No support/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),28.57%/7/0 days (Across ALL Assets),exit,78.54
DELTADRIFT,"AAPL, Long, 2026-01-22 (Price: 248.35)",2026-01-26 (Price: 255.41),"2.84%, 4 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-29 (Price: 258.2800), 4.00% above",5 days,No Information,No Information,No Information,No Information,No Information,No Information,6.6%/3.13%/3.95%,"4.88%, 13.99%",2.3 months/2 days/23 days,2026-05-01/2026-01-24/2026-02-24,8.79%,8.71%,0.08%,0.77,0.46,258.7559/258.1598/258.46/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,246.7/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/235.74,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),exit,249.2
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",2026-01-27 (Price: 148.34) (Today),"0.91%, 7 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-20",Already confirmed,"2026-01-29 (Price: 149.9000), 1.97% above",7 days,No Information,No Information,No Information,No Information,No Information,2.64% above/0.91% above/0.91% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-12/2026-01-28/2026-03-13,9.71%,2.06%,7.65%,0.36,0.03,148.5729/149.94/153.59/179.4533/186.6499/209.3631/154.63,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),exit,144.46
TRENDPULSE,"^BVSP, Long, 2026-01-15 (Price: 165568.0)",2026-01-26 (Price: 178721.0),"7.94%, 11 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-29 (Price: 183133.7500), 10.61% above",12 days,No Information,No Information,No Information,No Information,No Information,10.16% above/9.88% above/9.88% above,5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-09-28/2026-01-25/2026-02-27,10.46%,4.14%,6.32%,1.7,0.2,175601.4208/170319.8016/171680.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/143125.97,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),exit,165180.0
TRENDPULSE,"BABA, Long, 2026-01-13 (Price: 167.01)",2026-01-27 (Price: 172.72) (Today),"3.42%, 14 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-29 (Price: 174.2500), 4.34% above",14 days,No Information,No Information,No Information,No Information,No Information,14.41% above/3.42% above/3.42% above,13.07%/3.26%/7.2%,"49.23%, 66.54%",2.5 months/6 days/1.2 month,2026-05-01/2026-01-21/2026-03-06,-7.81%,-3.01%,-4.8%,-0.14,0.07,170.6508/179.0347/171.62/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,146.58/67.495/144.416/No support/No F-Track Level/No F-Track Level/138.31,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),exit,165.5
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 186.36) (Today),"-7.78%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 185.2700), 8.32% below",15 days,No Information,No Information,No Information,"23.66% (Price: 201.5134), 7.52% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.09,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),exit,199.44
TRENDPULSE,"MTY.TO, Long, 2026-01-07 (Price: 40.04)",2026-01-26 (Price: 42.91),"7.17%, 19 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-29 (Price: 41.9100), 4.67% above",20 days,No Information,No Information,No Information,No Information,No Information,6.67% above/6.64% above/6.64% above,7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),exit,39.7
TRENDPULSE,"NVO, Long, 2026-01-04 (Price: 52.39)",2026-01-27 (Price: 62.89) (Today),"20.04%, 23 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-29 (Price: 59.3300), 13.25% above",23 days,No Information,No Information,No Information,No Information,No Information,20.02% above/20.04% above/20.04% above,20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,51.56
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",2026-01-27 (Price: 929.72) (Today),"2.5%, 1 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-29 (Price: 940.1200), 3.65% above",1 month,No Information,No Information,No Information,No Information,No Information,4.7% above/2.5% above/2.5% above,16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),exit,896.52
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",2026-01-25 (Price: 150.15),"3.94%, 1.2 month","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-29 (Price: 149.9000), 3.77% above",1.2 month,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,2026-10-12/2025-12-31/2026-03-13,6.41%,4.09%,2.32%,2.17,0.17,152.5642/151.943/152.25/179.4533/186.6499/209.3631/154.26,142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),exit,143.27
BAND MATRIX,"CVS, Long, 2025-12-05 (Price: 75.63)",2026-01-27 (Price: 72.0) (Today),"-4.8%, 1.8 month","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-05",No Cancellation Possible,"2026-01-29 (Price: 74.4400), 1.57% below",1.8 month,No Information,No Information,No Information,No Information,No Information,No Information,23.31%/1.13%/12.66%,"19.57%, 37.23%",6.4 months/1.2 month/3.4 months,2026-09-09/2026-01-26/2026-05-01,13.84%,1.55%,12.29%,0.46,0.07,80.8258/85.2048/83.02/106.045/116.3721/144.3517/No EMA 200 Target,75.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/71.97,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),exit,76.73
